country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales,Francophone Ecologists,1981,90 Propositions des écologistes
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,1985,Propositions d'ecolopour les elections legislative d'octobre 1985
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales,Francophone Ecologists,1987,Des idees vraies
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,1991,"Durgence,  Ecolo"
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,1995,Lavenir est ouvert
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,1999, Le programme électoral
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,2003,Résumés des programmes
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,2007,Elections législatives du 10 juin 2007. Programme électoral d'ECOLO
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales,Francophone Ecologists,2010,Axe Démocratie et Gouvernance
BE,Belgium,21111,Ecol,Écologistes Confédérés pour l'Organisation de Luttes Originales ,Francophone Ecologists,2010,Plateforme programmatique Ecolo
BE,Belgium,21112,Groe,Groen!,Green!,1981,Echt nieuw
BE,Belgium,21112,Groe,Groen!,Green!,1985,Ontwerp krachtlijnenprogramma
BE,Belgium,21112,Groe,Groen!,Green!,1987,Krachtlijnen van een groen alternatief
BE,Belgium,21112,Groe,Groen!,Green!,1991,Programma Parlamentsverkiezinge
BE,Belgium,21112,Groe,Groen!,Green!,1995, Programma Parlamentsverkiezinge
BE,Belgium,21112,Groe,Groen!,Green!,1999,De toekomst is groen
BE,Belgium,21112,Groe,Groen!,Green!,2003,Groene beleidsvoorstellen
BE,Belgium,21112,Groe,Groen!,Green!,2007,De toekomst begint nu Programma Groen! voor de federale verkiezingen van 10 juni 2007
BE,Belgium,21112,Groe,Groen!,Green!,2010,Positieve Energie
BE,Belgium,21221,SPA,Spirit - Socialistische Partij Anders,Spirit - Socialist Party Different,2010,Goedgekeurd verkiezingsprogramma
