country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,82110,SZ,Strana zelených,Green Party,2006,Volební program - kvalita života
CZ,Czech Republic,82110,SZ,Strana zelených,Green Party,2009,Volební program Strany zelených
CZ,Czech Republic,82110,SZ,Strana zelených,Green Party,2010,Volební program Strany zelených - volby do Poslanecké sn?movny 2010
CZ,Czech Republic,82110,SZ,Strana zelených,Green Party,2010,?AS PRO OBRAT - HOSPODÁ?SKÝ A PROTIKORUP?NÍ PROGRAM SZ 2010
CZ,Czech Republic,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,1990,Volební program Komunistiscké Strany Ceskoslovenska
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,1996,Socialismus – Šance pro budoucnost
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,1998,Volební program KS?M
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2002,S lidmi pro lidi
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2006,Volební program Komunistické strany ?ech a Moravy 
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2009,Otev?ený volební program pro mimo?ádné volby do Poslanecké sn?movny P?R v roce 2009
CZ,Czech Republic,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2010,Otevrený volební program KS?M pro volby do PS  P?R 2010
CZ,Czech Republic,82221,LB,Levý Blok,Left Bloc,1992,Levý Blok - KS?M - DL ?SFR
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,1992,"Goals + Principles, Plans for a Dignified Present/Program of Responsibilities for the Future"
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,1996,Lidskost proti sobectví
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,1998,Spole?ne s Vámi pro lepší budoucnost
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2002,?lov?k na prvním míst?
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2006,"Volební Program ?SSD, Jistoty a Prosperita"
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2009,"Jistoty pro lidi, nad?je pro naši zemi"
CZ,Czech Republic,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2010,Program zm?ny a nad?je - Lepší budoucnost pro oby?ejné lidi
