country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1981,CD sagde nej - nu må vælgerne sige nej!
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1984,Denne ganger valget let: Firkløveret skal fortsætte!
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1987,Valget den 8. september er særpræget på to måder
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1988,Det lille parti med den store virkning 
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1990,Programa
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1994,CD’s formålsparagraf
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,1998,Valgtemaer CD
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,2001,Velfærdssamfundet Mere fællesskab - mindre formynderi
DK,Denmark,13330,CD,Centrum-Demokraterne,Centre Democrats,2005,"Vi har råd til det, vi vil"
DK,Denmark,13720,DF,Dansk Folkeparti,Danish Peoples Party,1998,DE KRAV DANSK FOLKEPARTI STILLER TIL DANSK POLITIK
DK,Denmark,13720,DF,Dansk Folkeparti,Danish Peoples Party,2001,Fælles værdier - fælles ansvar Arbejdsprogram for Dansk Folkeparti September 2001
DK,Denmark,13720,DF,Dansk Folkeparti,Danish Peoples Party,2005,Vi vil have et trygt land 
DK,Denmark,13720,DF,Dansk Folkeparti,Danish Peoples Party,2007,Stram udlændingepolitik og ægte velfærd
DK,Denmark,13720,DF,Dansk Folkeparti,Danish Peoples Party,2011,Mærkesager
DK,Denmark,13952,E,Danmarks Retsforbund,Justice Party,1981,"LAD os løse Danmarks økonomiske problemer – frem for at diskutere, hvem der skal være statminister"
DK,Denmark,13952,E,Danmarks Retsforbund,Justice Party,1984,Der må en ny politik til.
DK,Denmark,13229,Enh,Enhedslisten,Red-Green Alliance,1994,Kryds Ø på valgdagen 
