country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
FI,Finland,14222,DEVA,Demokraattinen Vaihtoehto,Democratic Alternative,1987,‘Rauha maailmalle uusi suuntasuomelle’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,1983,‘Sinulla on oikeus parempaan’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,1991,‘Vahva kokoomus - sinun turvasi!’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,1995,‘Vastuuta Suomesta’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,1999,‘Suomi ei tarvirse sanoja vaan tekoja. Työn ja yrittärmisen hyväksi’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,2003,‘Tavoitteena parempi arki – Kokoomuksen kuuden kohdan ohjelma’
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,2007,Vaastullinen Maarkinatalous
FI,Finland,14620,KK,Kansallinen Koomus,National Coalition,2011,Matkaopas hyvinvointivsltiosta Paremminvointivaltioon
FI,Finland,14620,KK,Kansallinen Koomus ,National Coalition,1987,‘Tartu huomisen Mahdollisuuksiin’
FI,Finland,14430,NSP,Nuorsuomalainen Puolue,Progressive Finnish Party,1995,‘Muutos työ ihminen’
FI,Finland,14820,PS,Perussuomalaiset,True Finns,2003,‘Uusi suunta suomelle – kojausksia epäkohtin’
FI,Finland,14820,PS,Perussuomalaiset,True Finns,2007,Eduskuntavaaliohjelma 2007
FI,Finland,14820,PS,Perussuomalaiset,True Finns,2011,Suomalaiselle sopivin
FI,Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,1995,‘Kansan’
FI,Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,1999,Ruotsalaisen kansanpuolueen vaalijulistus 1999
FI,Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,2007,100+3
FI,Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet,Swedish People’s Party,2011,Rikkaamman suomen puolesta
FI,Finland,14901,RKP/SFP,Ruotsalainen Kansanpuolue/Svenska Folkpartiet ,Swedish People’s Party,2003,‘Uskomme ihmiseen’
FI,Finland,14810,SK,Soumen Keskusta,Finnish Centre,1987,"Suomen kekustan periaateohjelma
General programme distributed by the party as the election programme"
FI,Finland,14810,SK,Soumen Keskusta,Finnish Centre,1991,‘En ny start för Finland’
