country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
FR,France,31110,Éco,Écologistes,Greens,1993,‘Le choix de la vie’
FR,France,31110,Éco,Écologistes,Greens,1993,Accord programmatique entre les Verts et la Génération Écologie
FR,France,31110,Éco,Écologistes,Greens,1997,"Ensemble, donnons clusens á l’avenir"
FR,France,31110,Éco,Écologistes,Greens,2002,Programme des verts pour les elections legislatives de 2002
FR,France,31110,Éco,Écologistes,Greens,2002,Programme des verts pour les elections legislatives de 2002
FR,France,31110,Éco,Écologistes,Greens,2007,Le Monde Change avec les Verts Changeons le Monde
FR,France,31110,Éco,Écologistes,Greens,2012,Vivre mieux. Vers une société écologique.
FR,France,31720,FN,Front National,National Front,1986,Programme du Front National
FR,France,31720,FN,Front National,National Front,1993,L'alternative nationale 300 mesures pour la renaissance de la France 
FR,France,31720,FN,Front National,National Front,1997,‘Un programme pour gouvenir’
FR,France,31720,FN,Front National,National Front,2002,"Programme du Front National pour les elections legislatives de 2002"
FR,France,31720,FN,Front National,National Front,2002,"La France - L'universalité, la mémoire, le sacré"
FR,France,31720,FN,Front National,National Front,2007, 2007 - Programme de gouvernement de Jean-Marie Le Pen
FR,France,31621,Gaul,Gaullists,Gaullists,1981,Pacte pour l’Union de la Nouvelle Majorité
FR,France,31621,Gaul,Gaullists,Gaullists,1986,"Le renouveau pacte R.P.R. pour la France (synthese de propositions), pp. 25"
FR,France,31621,Gaul,Gaullists,Gaulists,1988,Discours de Monsieur Jacques Chirac
FR,France,31111,GE,Generation Écologie,Ecology Generation,1997,‘La charte de géneration écologie’
FR,France,31111,GE,Generation Écologie,Ecology Generation,2007,Objectif 2007
FR,France,31703,MNR,Mouvement National Républicain,National Republican Movement,2002,PROGRAMME DU MOUVEMENT NATIONAL REPUBLICAIN (MNR) POUR LES ELECTIONS LEGISLATIVES DE 2002
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,1981,‘Le rapport de Georges Marchais au Comité central’ (12 janvier 1981)
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,1986,"Sen sortir, c’est possible"
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,1988,"Le rapport de Georges Marchais (au Comité central, 18 mai 1988)"
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,1993,‘Six Propositions pour la France’
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,1997,‘Le programme. 5 axes pour changer de  politique’
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,2002,PROGRAMME DU PARTI COMMUNISTE FRANCAIS POUR LES ELECTIONS LEGISLATIVES DE 2002
FR,France,31220,PCF,Parti Communiste Français,French Communist Party,2006,Le programme issu du 33e Congrès du PCF
FR,France,31702,PR,Pôle republicain,Republican Pole,2002,PROGRAMME DU POLE REPUBLICAIN POUR LES ELECTIONS LEGISLATIVES DE 2002
FR,France,31320,PS,Parti Socialiste,Socialist Party,1981,110 PROPOSITIONS POUR LA FRANCE
FR,France,31320,PS,Parti Socialiste,Socialist Party,1986,Plate-forme du Parti Socialiste pour les élections Législatives du 16 Mars 1986
FR,France,31320,PS,Parti Socialiste,Socialist Party,1988,‘Propositions pour la France’
FR,France,31320,PS,Parti Socialiste,Socialist Party,1993,"Français, vous avez changé. Nous aussi."
FR,France,31320,PS,Parti Socialiste,Socialist Party,1997,‘Changeons d’avenir’
FR,France,31320,PS,Parti Socialiste,Socialist Party,2002,"PROGRAMME DU PARTI SOCIALISTE (PS) - POUR LES ELECTIONS LEGISLATIVES DE 2002"
FR,France,31320,PS,Parti Socialiste,Socialist Party,2002,"La vie en mieux, la vie ensemble"
FR,France,31320,PS,Parti Socialiste,Socialist Party,2007,"FACE À LA DROITE, DES RÉPONSES DE GAUCHE"
FR,France,31320,PS,Parti Socialiste,Socialist Party,2012,Le changement c'est maintenant
FR,France,31625,RPR,Rassemblement pour la République ,Rally for the Republic,1993,‘La France en Mouvement. Rassembler pour Changer’
FR,France,31625,RPR,Rassemblement pour la République ,Rally for the Republic,2002,Notre projet : Vers une société de confiance
FR,France,31981,RPR/UDF,Rassemblement pour la République/Union pour la Démocratie Française,Association for the Republic/Union for the French Democracy,1981,Un pacte et dix principes
FR,France,31981,RPR/UDF,Rassemblement pour la République/Union pour la Démocratie Française,Association for the Republic/Union for the French Democracy,1986,Plate-forme pour gouverner ensemble
FR,France,31624,UDF,Union pour la Démocratie Française,Union for French Democracy,1993,‘Les 40 priorites de l’UDF pour l’alternance’
FR,France,31624,UDF,Union pour la Démocratie Française,Union for French Democracy,2002,‘2002 – La reléve des idées’
FR,France,31624,UDF,Union pour la Démocratie Française,Union for French Democracy,2007,LA FRANCE ENSEMBLE
FR,France,31626,UMP,Union pour la majorité presidentille,Union for the Presidential Majority,2002,’25 engagements pour la France avec Jacques Chirac’
FR,France,31626,UMP,Union pour la majorité presidentille,Union for the Presidential Majority,2007,No title
FR,France,31626,UMP,Union pour la majorité presidentille,Union for the Presidential Majority,2012,EMSEMBLE TOUT DEVIENT POSSIBLE

