country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Germany,41953,AfD,Alternative für Deutschland,Alternative for Germany,2013,Wahlprogramm
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1976,Das gemeinsame Wahlprogramm der CDU und CSU 1976
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1980,"Für Frieden und Freiheit. Das Wahlprogramm der CDU/CSU, Bundestagswahl 1980"
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1983,"Arbeit, Frieden, Zukunft - Miteinander schaffen wir’s, Das Wahlprogramm der CDU/CSU, CDU - sicher - sozial und frei"
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1987,"Weiter so, Deutschland - für eine gute Zukunft, Das Wahlprogramm von CDU und CSU für die Bundestagswahl 1987"
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,"Weiter so Deutschland, Ja zur Zukunft, Wahlprogramm der Christlich-Demokratischen Union Deutschlands zur gesamtdeutschen Bundestagswahl am 2. Dezember 1990."
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1994,Wir sichern Deutschlands Zukunft. Das Regierungsprogramm von CDU und CSU.
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1998,Wahlprogramm von CDU und CSU
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2002,‘Leistung und Sicherheit. Zeit für Taten.’
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2005,"Deutschlands Chancen nutzen. Wachstum, Arbeit, Sicherheit"
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2009,Wir haben die Kraft - Gemeinsam für unser Land
DE,Germany,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2013,Gemeinsam erfolgreich für Deutschland. 
DE,Germany,41001,COAL,Koalition: SPD/GRÜNE,Coalition: SPD/GRÜNE,1998,Aufbruch und Erneuerung - Deutschlands Weg ins 21. Jahrhundert
