country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
IE,Ireland,53204,AAA,Anti-Austerity Alliance,Anti-Austerity Alliance,2016,Real Change - not spare change
IE,Ireland,53205,AAA-PBP,Anti-Austerity Alliance - People Before Profit,Anti-Austerity Alliance - People Before Profit,2016,Radical Alternatives & Real Equality
IE,Ireland,53221,DL,Democratic Left Party,Democratic Left Party,1992,‘A Programme for Change and Progress’
IE,Ireland,53221,DL,Democratic Left Party,Democratic Left Party,1997,‘Make the Future Work’
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),2011,"Real Plan, Better Future"
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),2016,An Ireland for All
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1981,‘Our Programme for the ‘80s’
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1982,Fianna Fail's 10-point election programme
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1982,"The great challenge lies in our population growth, newspaper article by Charles Haughey"
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1987,‘The Programme for National Recovery ‘
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1989,‘National Recovery. The Next Phase’
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1992,‘The Six Point Plan for National Progress. We can make it Happen’
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),1997,Fianna Fail Manifesto 1997
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),2002,Manifesto
IE,Ireland,53620,FF,Fianna Fail ,Fianna Fail (Soldiers of Destiny),2007,"Now, the next steps"
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),2011,Let's get Ireland working
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),2016,Let's keep the recovery going
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1981,‘A Better Future: Let the Country Win’
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1982,"Speech by the Taoiseach, Dr. Garret Fitzgerald, to Galway Chamber of Commerce at their Annual Dinner in University College, Galway on Saturday the 30th of January 1982, at 8.30 p.m."
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1982,Election programme
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1987,"We‘ve done the Groundwork - Now Let’s Build the Nation. Breaking out of the Vicious Circle, Election ‘87"
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1989,‘Putting the Country First’
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1992,‘Priorities for Government 1992-1997. Let’s Bring Out the Best in the Country’
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),1997,‘Securing our Future. Securing a Safer Society’
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),2002,Manifesto
IE,Ireland,53520,FG,Fine Gael,Fine Gael (Family of the Irish),2007,Manifesto
IE,Ireland,53110,Greens,Ecology Party/Green Party,Ecology Party/Green Party,2011,Renewing Ireland
