country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
IT,Italy,32529,AD,Alleanza Democratica,Democratic Alliance,1996,
IT,Italy,32521,CCD,Centro Cristiano Democratico,Christian Democratic Centre,1996,‘Punti di programma del Centro Cristiano Democratico’
IT,Italy,32521,CCD,Centro Cristiano Democratico,Christian Democratic Centre,2001,these are the programmatic positions of CCD during the elections of 23 may 2001, but it is NOT explicitly presented as an election manifesto.
IT,Italy,32211,DP,Democrazia Proletaria,Proletarian Democracy,1983,‘Il quadro dei problemi del paese’
IT,Italy,32220,DS,Democratici di Sinistra,Democrats of the Left,1983,‘La proposta alternativa per il Cambiamento’
IT,Italy,32220,DS,Democratici di Sinistra,Democrats of the Left,1987,‘Il PCI per la decima legislatura. Gli impegni programmatici fondamentali’
IT,Italy,32220,DS,Democratici di Sinistra ,Democrats of the Left,1992,‘Costruiamo una nuova Italia. PDS opposizione che costruisce’
IT,Italy,32220,DS,Democratici di Sinistra ,Democrats of the Left,1994,‘Programma di governo del PDS. Per ricostruire un’Italia piú giusta, piú unita, piú moderna
IT,Italy,32110,FdV,Federazione delle Liste Verdi,Green Federation,1987,‘Perche’ una Lista Verde Nazionale’ 
IT,Italy,32110,FdV,Federazione delle Liste Verdi,Green Federation,1992,‘Gli altri ti promettono la luna. Noi ti garantiamo la terra’ 
IT,Italy,32110,FdV,Federazione delle Liste Verdi,Green Federation,1996,‘La Via Verde’
IT,Italy,32110,FdV,Federazione delle Liste Verdi ,Green Federation,1994,Estimate
IT,Italy,32610,FI,Forza Italia,Go Italy,1994,Forza Italia
IT,Italy,32610,FI,Forza Italia,Go Italy,1996,‘Contratto con gli italiani: ecco il nostro impegno di governo’
IT,Italy,32610,FI,Forza Italia,Go Italy,2001,"PIANO DI GOVERNO PER UNA INTERA  LEGISLATURA
"
IT,Italy,32610,FI,Forza Italia,Go Italy,2001,Joint programme of Casa delle Libertá (House of Freedom) 32629 ‘Polo delle Liberta’ 
IT,Italy,32404,IDV,Italia dei Valori,Italy of Values,2001,Programma
IT,Italy,32404,IDV,Italia dei Valori,Italy of Values,2008,11 Punti per cambiare l' Italia
IT,Italy,32720,LN,La Lega Nord,Northern League,1994,‘Sintesi del programma elettorale per le elezioni politiche ‘94
IT,Italy,32720,LN,La Lega Nord,Northern League,1996,Lega Nord. Programma elettorale
IT,Italy,32951,LR,La Rete /Movimento per la Democrazia ,The Network/Movement for Democracy,1994,‘La Rete. Le ragioni di un voto’
IT,Italy,32997,M5S,Movimento Cinque Stelle,Five Star Movement,2013,Programma
IT,Italy,32310,Other, Lista Sgarbi-Panella,,1996,Lista Sgarbi-Panella
IT,Italy,32522,Other,Biancofiore,White Flower,2001,Joint programme of Casa delle Libertá (House of Freedom) 32629 ‘Polo delle Liberta’ 
IT,Italy,32629,Other,Casa delle Libertá ,House of Freedom,2006,"Elezioni della camera dei deputati del 9-10 aprile 2006
"
IT,Italy,32901,Other,Democrazia Europea,European Democracy,2001,‘Orientamenti Strategici e di Valore’
IT,Italy,32902,Other,La Destra/ Fiamma Tricolori,,2008,Programma elettorale
IT,Italy,32995,Other,La Sinistra - Arcobaleno,,2008,Programma elettorale 2008
IT,Italy,32996,Other,L'Unione,,2006,Per il bene dell' Italia
IT,Italy,32213,Other,Partito dei Comunisti Italiano,Italian Communists,2001,Joint programme of Ulivo (Olive Tree) 32329: ‘Rinnoviamo l’Italia, insieme’
IT,Italy,32993,Other,Popolo de la Libertá,The People of Freedom,2008,7 missioni per il futoro dell Italia
IT,Italy,32993,Other,Popolo de la Libertá,The People of Freedom,2013,Patto del Parlamentare
IT,Italy,32991,Other,Ulivo,Olive Tree,2001,‘Rinnoviamo l’Italia, insieme’
IT,Italy,32340,PD,Partito Democratico,Democratic Party,2008,Adesso una Italia Nuova
IT,Italy,32340,PD,Partito Democratico,Democratic Party,2013,L'Italia Gusta
IT,Italy,32520,PLI,Partido Populare Italiano,Italian Popular Party,1983,‘Un programma per garantire lo sviluppo’
IT,Italy,32520,PLI,Partido Populare Italiano,Italian Popular Party,1992,‘Un programma per l’Italia verso l’Europa. Prima l’Italia. Libertas, fai vincere il tuo futuro’
IT,Italy,32520,PLI,Partido Populare Italiano ,Italian Popular Party,1987,‘Libertas. un programma per l’Italia. elezioni politiche 14-15 giugno 1987’
IT,Italy,32520,PLI,Partido Populare Italiano ,Italian Popular Party,1994,‘Un programma per gli italiani’
IT,Italy,32520,PLI,Partido Populare Italiano ,Italian Popular Party,1996,‘L’adesione del PPI al programma dell’Ulivio
IT,Italy,32420,PLI,Partito Liberale Italiano,Liberal Party,1983,Manifesto e Programma Elettorale del PLI’. 26 June 1983
IT,Italy,32420,PLI,Partito Liberale Italiano,Liberal Party,1987,Il manifesto 1987
IT,Italy,32420,PLI,Partito Liberale Italiano,Liberal Party,1992,‘Elezioni 1992. Dateci la forza per cambiare le cose’
IT,Italy,32212,PRC,Rifondazione Comunista,Newly Founded Communists,2001,Programma Politico
IT,Italy,32212,PRC,Rifondazione Comunista ,Newly Founded Communists,1992,‘Programma elettorale. Dall’oppositzione per l’alternativa’
IT,Italy,32212,PRC,Rifondazione Comunista ,Newly Founded Communists,1994,‘La forza dell’alternativa. Difendi il lavoro: Cambia l’Italia con la sinistra’
IT,Italy,32212,PRC,Rifondazione Comunista ,Newly Founded Communists,1996,‘Ricominciare da sinistra per l’alternativa’
IT,Italy,32410,PRI,Partito Repubblicano Italiano,Republican Party,1983,‘Trenta punti per una legislatura. Il Programma repubblicano’, Roma, 1983
IT,Italy,32410,PRI,Partito Repubblicano Italiano,Republican Party,1987,‘La garanzia del PRI per l’Italia di domani. I documenti della voce per la campagna elettorale. Maggio-giugno 1987’
IT,Italy,32410,PRI,Partito Repubblicano Italiano,Republican Party,1992,‘Elezioni politiche 1992. Per un’Italia nuova’
IT,Italy,32330,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,1987,‘Una alternativa riformista per governare il cambiamento’
IT,Italy,32330,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,1992,‘Programma elettorale 1992. Piu’ forza al PSDI per un domani sicuro’
IT,Italy,32330,PSDI,Partito Socialista Democratico Italiano ,Italian Democratic Socialist Party,1983,‘Il PSDI agli elettori: indicazioni per un programma di governo’
IT,Italy,32320,PSI,Partito Socialista Italiano,Socialist Party,1983,‘Rinnovare l’Italia , governare davvero, Il Programma socialista per la nona legislatura’
IT,Italy,32320,PSI,Partito Socialista Italiano,Socialist Party,1992,‘PSI. Un governo per la ripresa. Argomenti socialisti’.
IT,Italy,32320,PSI,Partito Socialista Italiano ,Socialist Party,1987,Programma socialista per la decima legislatura. 
IT,Italy,32321,RI,Rinnovamento Italiano,Italian Renewal,1996,Manifesto Politico
IT,Italy,32430,SC,S celta Civica,Civic Choice,2013,Cambiare l'Italia, Riformare L'Europa
IT,Italy,32710,Soc,Moviemiento Sociale Italiano - Destra Nacionale,Italian Social Movement-National Right,1983,Movimento Sociale Italiano - Destra Nazionale
IT,Italy,32710,Soc,Moviemiento Sociale Italiano - Destra Nacionale,Italian Social Movement-National Right,1987,‘Stato, Nazione, Lavore, libertà per la nuova repubblica degli italiani’
IT,Italy,32710,Soc,Moviemiento Sociale Italiano - Destra Nacionale,Italian Social Movement-National Right,1992,‘Ogni Voto una Picconata’
IT,Italy,32710,Soc,Moviemiento Sociale Italiano - Destra Nacionale,Italian Social Movement-National Right,1994,‘Il programma delle destra di governo’
IT,Italy,32710,Soc,Moviemiento Sociale Italiano - Destra Nacionale,Italian Social Movement-National Right,1996,‘Pensiamo l’Italia: il domani c’é giá’
IT,Italy,32530,UDC,Unione Di Centro,Union of the Centre ,2008,Programma
IT,Italy,32530,UDC,Unione Di Centro,Union of the Centre ,2013,Manifesto per una nuova Italia
