country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
LU,Luxembourg,23114,Déi Gréng,Déi Gréng,The Greens,2004,Neit Kapital Fir Letzebuerg
LU,Luxembourg,23114,Déi Gréng,Déi Gréng,The Greens,2009,ECOLOGIE – ECONOMIE – EDUKATIOUN
LU,Luxembourg,23202,Déi Lénk,Déi Lénk,The Left,2009,Et gëtt héich Zäit!
LU,Luxembourg,23112,GAP,Déi Gréng Alternativ ,Green Alternative,1984,‘Liewen a fridden’
LU,Luxembourg,23112,GAP,Déi Gréng Alternativ ,Green Alternative,1989,‘Greng brëcht duerch lëscht 10’
LU,Luxembourg,23111,GLEI,Greng Lëscht Ekologesch Initiativ,Green Left Ecological Initiative,1989,Walen 1989
LU,Luxembourg,23113,GLEI-GAP,Greng Lëscht Ekologesch Initiativ - Déi Gréng Alternativ ,Green Left Ecological Initiative- Green Alternative,1994,‘Program fir d’chamberwalen 1994 - natiirlech ... Déi Gréng GLEI-GAP’
LU,Luxembourg,23113,GLEI-GAP,Greng Lëscht Ekologesch Initiativ - Déi Gréng Alternativ ,Green Left Ecological Initiative- Green Alternative,1999,‘Nei Leit - Nei Léisungen’
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,1984,‘E Programm fir Lech’
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,1989,"E Programm fir Lech. Weider an eisem fräien, onofhängege Lëtzebuerg mat enger staarker an dynamescher CSV"
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,1999,‘E Programm fir d’Zukunft. Mat der CSV
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,2002,CSV.De séchere Wee.
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,2004,CSV.De séchere Wee.
LU,Luxembourg,23520,PCS/CSV,Parti Chrétien Social/Chrëstlech Sozial Vollekspartei,Christian Social People’s Party,2009,CSV.Croître ensemble
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,1984,Grundsätze und Orientierungen 1984. ‘Verstoen mat der Zäit ze goen’
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,1989,‘DP. Fir lëtzebuerg’ Walprogramm vun der Demokratescher Partei fir d’Châmber - an d’Europawalen 1989
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,1994,‘Dem Wandel eine Chance geben’
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,1999,‘Eng Allianz mam Bierger’
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,2004,No title
LU,Luxembourg,23420,PD/DP,Parti Démocratique/Demokratesch Partei,Democratic Party,2009,Nei Weeër wielen
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,1984,"Bessere Zeiten für Luxemburg. 111 Vorschläge der LSAP für ein besseres Leben, Wohnen und Arbeiten in Luxemburg"
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,1989,Fir d’90er Jahren: d’Sozialisten. De Parteiprogramm vun de Sozialisten
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,1994,‘Gute Jahre für Luxemburg’
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,1999,‘Eise Kontrakt mat Lëtzebuerg’
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,2004,LSAP - Am Mëttelpunkt vum Liewen
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,2009,De roude Fuedem
LU,Luxembourg,23320,POSL/L.,Parti Ouvrier Socialiste Luxembourgeois/Lëtzeburger Sozialistesch Arbeiterpartei,Socialist Workers’ Party,2009,Le fil rouge


