country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,22906,50+,50PLUS,50PLUS,2012,50 PLUS PUNTEN
NL,Netherlands,22953,AOV,Algemeen Ouderenverbond/ Unie 55+,,1994,Verkiezingsprogramma
NL,Netherlands,22951,AOV,Algemeen Ouderenverbond/ Unie 55+,,1998,Verkiezingsprogramma
NL,Netherlands,22701,CD,Centrumdemocraten,,1994,Oost West Thuis Best
NL,Netherlands,22701,CD ,Centrumdemocraten,,1998,Trouw aan rood wit blauw
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1981,Verkiezingsprogramma 1981-1985
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1982,‚Om een zinvol bestaan’ 
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1986,Verkiezingsprogramma 
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1989,Verkiezingsprogramma 
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1994,‘Wat echt telt. werk - veiligheid - milieu’
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,1998,CDA-Verkiezingsprogramma 1998
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,2002,"Betrokken samenleving, betrouwbare overheid"
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,2003,The CDA contested the 2003 election with the 2002 programme
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,2006,Vertrouwen in Nederland.
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,2010,Slagvaardig en samen
NL,Netherlands,22521,CDA,Christen-Democratisch Appel,Christian Democratic Appeal,2012,Iedereen
NL,Netherlands,22201,CPN,Communistische Partij van Nederland,,1981,Verkiezingsprogramma 1981
NL,Netherlands,22201,CPN,Communistische Partij van Nederland,,1982,Progressieve Machtsvorming
NL,Netherlands,22201,CPN,Communistische Partij van Nederland,,1986,Verkiezingsprogramma: Met alle macht
NL,Netherlands,22526,CU,ChristenUnie,Christian Union,2002,‘Durf te kiezen voor normen’
NL,Netherlands,22526,CU,ChristenUnie,Christian Union,2003,Verkiezingsmanifest
NL,Netherlands,22526,CU,ChristenUnie,Christian Union,2006,Duurzaam voor elkaar
NL,Netherlands,22526,CU,ChristenUnie,Christian Union,2012,Voor de verandering
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,1981,Verkiezingsprogramma Democraten ‘66 1981-1985
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,1986,Verkiezingsprogramma Democraten ‘66 1986-1990 
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,1998,‘Bewogen in beweging. Verkiezingsprogramma Democraten ‘66’
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,2002,‘Toekomst in eigen hand’
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,2003,Verkiezingspamflet D66
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,2006,Het gaat om mensen
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,2010,We willen het anders
NL,Netherlands,22330,D’66,Democraten‘66,Democrats‘66,2012,En nu vooruit
NL,Netherlands,22330,D’66,Democraten‘66 ,Democrats‘66,1982,Verkiezingsprogramma Democraten ‘66 1982-1986 
NL,Netherlands,22330,D’66,Democraten‘66 ,Democrats‘66,1989,Programma D66 Tweede-Kamerverkiezingen 1989
NL,Netherlands,22330,D’66,Democraten‘66 ,Democrats‘66,1994,‘Ruimte voor de toekomst’ Verkiezingsprogramma Democraten ‘66 94-98 
NL,Netherlands,22110,GL,Groen Links,Green Left,1989, Verkiezingsprogramma 
NL,Netherlands,22110,GL,Groen Links,Green Left,1994,Verkiezingsprogramma voor de Twede Kamer en Europees Parlament 1994-1998
NL,Netherlands,22110,GL,Groen Links,Green Left,1998,Verkiezingsprogramma 1998-2002
NL,Netherlands,22110,GL,Groen Links,Green Left,2002,‘Overvloed en onbehagen’
NL,Netherlands,22110,GL,Groen Links,Green Left,2003,‘De visie van GroenLinks. Verkienzingen januari 2003. Protest en Perspectief’
NL,Netherlands,22110,GL,Groen Links,Green Left,2006,Groei Mee. Programma van GroenLinks
NL,Netherlands,22110,GL,Groen Links,Green Left,2010,Groen werkt
NL,Netherlands,22110,GL,Groen Links,Green Left,2012,Groene kasen voor NL
NL,Netherlands,22501,GPV,Gereformeerd Politiek Verbond,,1986,Op koers naar morgen
NL,Netherlands,22501,GPV,Gereformeerd Politiek Verbond,,1989,"Leven, nu en straks"
NL,Netherlands,22501,GPV,Gereformeerd Politiek Verbond,,1994,Om een geloofwaardige overheid
NL,Netherlands,22501,GPV,Gereformeerd Politiek Verbond,,1998,Vaste Grond
NL,Netherlands,22430,LN,Leefbaar Nederland,,2002,Leefbaar Nederland komt er nu aan!
NL,Netherlands,22430,LN,Leefbaar Nederland,,2003,‘Deze keer doen ze echt wat ze beloven'
NL,Netherlands,22720,LPF,Lijst Pim Fortuyn ,List Pim Fortuyn,2002,‘Proeve van een programma Lijst Pim Fortuyn (11 maart 2002)’
NL,Netherlands,22720,LPF,Lijst Pim Fortuyn ,List Pim Fortuyn,2003,‘Politiek is Passie’
NL,Netherlands,22310,PPR,Politieke Partij Radicalen,Radical Political Party,1982,Manifest ‘82 
NL,Netherlands,22310,PPR,Politieke Partij Radicalen,Radical Political Party,1986,‘Verzet en Vernieuwing’
NL,Netherlands,22310,PPR,Politieke Partij Radicalen ,Radical Political Party,1981, Verkiezingsprogramma
NL,Netherlands,22202,PSP,Pacifistisch Socialistische Partij,,1981,Verkiezingsprogramma 1981-1985
NL,Netherlands,22202,PSP,Pacifistisch Socialistische Partij,,1986,Verkiezingsprogramma 1986-1990
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1981,Verkiezingsprogramma 1981
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1982,Programma PvdA Tweede-Kamerverkiezingen 1982
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1986,‘De toekomst is van iedereen. Voor werk en eerlijk delen’
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1989,Programma PvdA Tweede-Kamerverkiezingen 1989
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1994,‘Wat mensen bindt’
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,1998,‘Een wereld te winnen’
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,2002,‘Samen Voor De Toekomst. Idealen en ambities 2010’ 
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,2003,PvdA Verkiezingsmanifest 2003 
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,2006,Het Nederland van morgen.
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,2010,Iederen telt mee
NL,Netherlands,22320,PvdA,Partij van de Arbeid,Labour Party,2012,Nederland Sterker & Socialer
NL,Netherlands,22952,PvdD,Partij voor de Dieren,Party for the Animals,2006,"voor mens, dier, natuur en milieu"
NL,Netherlands,22952,PvdD,Partij voor de Dieren,Party for the Animals,2010,Recepten voor mededogen en duurzaamheid
NL,Netherlands,22952,PvdD,Partij voor de Dieren,Party for the Animals,2012,Hou vast aan je idealen
NL,Netherlands,22601,PVV,Partij voor de Vrijheid,Party for Freedom,2006,Verkiezingspamflet
NL,Netherlands,22601,PVV,Partij voor de Vrijheid,Party for Freedom,2010,De agenda van hoop en optimisme
NL,Netherlands,22601,PVV,Partij voor de Vrijheid,Party for Freedom,2012,"Hún Brussel, óns Nederland"
