country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1981,Prinsipprogrammet Arbeiderpartiet (usikkert årstall)
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1985,‘Ny vekst for Norge’
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1989,‘Krav til innsat for felles framtid’
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1993,‘Mer Felleskap’
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1997,‘Samråderett. Prinsipp og arbeidsprogram’
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,1997,Social Democracys Basic Values - Statement of Principles  and Action Programme The Norwegian Labour Party
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,2001,Program for 2001-2005. Vedtatt på landsmøtet 12. november 2000’
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,2005,Ny solidaritet Arbeiderpartiets program 2005 – 2009
NO,Norway,12320,DANN,Det Norske Arbeiderparti,Labour,2009,Skape og dele
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,1981,Fremskrittspartiet program 1981-85
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,1985,‘Vi vil gj re noe med det!’
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,1989,‘Fremtiden skapes - den vedtas ikke!’
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,1993,‘Velg riktig - lev bedre’
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,1997,‘Fremskrittspartiets prinsipper’
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,2001,Handlingsprogram for perioden 2001-2005
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,2005,frihet troverdig handlekraft lojalitet folkelig ansvarlig moderne
NO,Norway,12951,FrP,Fremskrittspartiet,Progress Party,2009,Handlingsprogramm 2009-2013
NO,Norway,12620,H,Høyre,Conservative Party,1981,Høyres arbeidsprogram 1981-1985
NO,Norway,12620,H,Høyre,Conservative Party,1985,‘Frihet og felleskap - mulighetenes samfunn’
NO,Norway,12620,H,Høyre,Conservative Party,1989,"Ny vilje, ny femgang"
NO,Norway,12620,H,Høyre,Conservative Party,1993,‘Norge trengeren ny giv’
NO,Norway,12620,H,Høyre,Conservative Party,1997,‘Fra statlig makt til personlig ansvar’
NO,Norway,12620,H,Høyre,Conservative Party,2001,Høyres stortingsvalgprogram 2001-2005
NO,Norway,12620,H,Høyre,Conservative Party,2005,Nye muligheter Høyres Stortingsvalgsprogram 2005 – 2009
NO,Norway,12620,H,Høyre,Conservative Party,2009.01,OPPORTUNITIES FOR ALL
NO,Norway,12620,H,Høyre,Conservative Party,2009.02,Moglegheiter for alle
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1981,‘Felleskap - Onsorg - Ansvar’
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1985,‘Samling om verdier’
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1989,‘Ta vare på livet!’
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1993,‘Tid for verdiar’
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,1997,Handlingsprogram for Kristeleg Folkeparti 1997-2001
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,2001,Program for Kristelig Folkeparti 2001-2005
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,2005,KrFs prinsipp- og politiske program for 2005-2009.
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,2009.01,Politisk program 2009 – 2013 
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,2009.02,Politisk program 2009 – 2013 
NO,Norway,12520,KrF,Kristelig Folkeparti,Christian People’s Party,2009.03,Politisk program 2009 – 2013 
NO,Norway,12220,NKP,Norges Kommunistiske Parti,Norwegian Communist Party,1981,"TIL VELGERNE - Avspenning, nedrustning og fred! Velstand, trygghet og demokrati!"
NO,Norway,12220,NKP,Norges Kommunistiske Parti,Norwegian Communist Party,1985,FRED ARBEID SOSIALISME - Norge under Høyrestyre
NO,Norway,12220,NKP,Norges Kommunistiske Parti,Norwegian Communist Party,1993,HER ER DITT POLITISKE ALTERNATIV - Hvorfor vi er mot det ekstreme alternativet
NO,Norway,12810,SP,Senterpartiet,Centre Party,1981,‘Trygg framtid. Program 1981-85’
NO,Norway,12810,SP,Senterpartiet,Centre Party,1983,TRYGG FRAMTID PRINSIPP - PROGRAM SENTERPARTIET VEDTATT PÅ LANDSMØTET 1983.
NO,Norway,12810,SP,Senterpartiet,Centre Party,1985,‘Trugg Framtid’
NO,Norway,12810,SP,Senterpartiet,Centre Party,1989,Senterpartiets program stortingsperioden 1990-1993
NO,Norway,12810,SP,Senterpartiet,Centre Party,1993,‘Lokalt ansvar - globalt samarbeid’
NO,Norway,12810,SP,Senterpartiet,Centre Party,1997,Stortingsvalgprogram for Senterpartiet 1997-2001
NO,Norway,12810,SP,Senterpartiet,Centre Party,2001,Stortingsvalgprogram 2001-2005
NO,Norway,12810,SP,Senterpartiet,Centre Party,2005,Senterpartiets prinsipp- og handlingsprogram 2005 - 2009
NO,Norway,12810,SP,Senterpartiet,Centre Party,2009,Senterpartiet sitt verdigrunnlag
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,1981,Program for Sosialistisk Venstrepartis arbeid i Stortinget 1981-1985
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,1985,Sosialistisk Venstreparti arbeidsprogram 1985-1988
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,1989,Sosialistisk Venstreparti arbeidsprogram 1989-1993
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,1993,‘Solidarisk veivalg’
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,1997,‘Folkemakt mot pengemakt’
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,2001,‘Folkemakt mot pengemakt’
NO,Norway,12221,SV,Sosialistisk Venstreparti,Socialist Left Party,2005,Ulike menneske. Like sjansar.
NO,Norway,12420,V,Venstre,Liberal Party,1981,Venstres arbeidsprogram 1981-1985
NO,Norway,12420,V,Venstre,Liberal Party,1984,Prinsipprogram Vedtatt 1984
NO,Norway,12420,V,Venstre,Liberal Party,1985,Program
NO,Norway,12420,V,Venstre,Liberal Party,1989,Venstres arbeidsprogram 1989-1993
NO,Norway,12420,V,Venstre,Liberal Party,1993,‘Frihet uten egoisme’
NO,Norway,12420,V,Venstre,Liberal Party,1997,‘Mangfold og fellesskap – Inn i et nytt årtusen’
NO,Norway,12420,V,Venstre,Liberal Party,2001,‘Personlig frihet og sosialt ansvar’
NO,Norway,12420,V,Venstre,Liberal Party,2005,
