country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
PL,Poland,92620,AWS ,Akjia Wyborcza Solidarnosc,Solidarity Election Action,1997,Program Akcji Wyborczey solidarno??
PL,Poland,92901,BB,Bezpartyjny Blok Wspierania Reform,Non Party Reform Block,1993,Program Bezpartyjnego Bloku Wsperania Reform
PL,Poland,92520,CHd,Chrze?cija?sko-Demokratyczne Stronnictwo Pracy,Christian Democratic Labour party,1991,The election programme
PL,Poland,92953,Ger,Mniejszosc Niemiecka,German Minority,1991,Ka?dy wyborca ma jeden g?os
PL,Poland,92953,Ger,Mniejszosc Niemiecka,German Minority,1997,Towarzystwo spo?eczno-kulturalne niemc?w na ?l?sku opolsim
PL,Poland,92953,Ger,Mniejszosc Niemiecka,German Minority,2001,Program Wyborczy Mniejszo?ci niemieckiej
PL,Poland,92420,KLD ,Kongres Liberalno Demokratyczny,Democratic Union,1991,Poland: Herading towards a democratic capitalism
PL,Poland,92610,Ko,Kongres Nowej Prawicy,Congress of the New Right,2011,Program Nowej Prawicy
PL,Poland,92710,KPN ,Konfideracja Polski Niepodleg?ej,Confederation for an Independent Poland,1991,The confederacy of independent poalnd kpn
PL,Poland,92710,KPN ,Konfideracja Polski Niepodleg?ej,Confederation for an Independent Poland,1993,Tezy Programowe IV Kongresu
PL,Poland,92021,LiD,Lewica i Demokraci ,Left and Democrats,2007,Nowa polityka - Nowa nadzieja
PL,Poland,92713,LPR ,Liga Polskich Rodzin,League of Polish Families,2001,"Polsce-Niepodleg?o??, Polakom-Praca, Chleb, Mieskania"
PL,Poland,92713,LPR,Liga Polskich Rodzin,League of Polish Families,2005,Skrót Programu Gospodarczego 
PL,Poland,92320,NS,Solidarnosc Pracy,Self-governed Trade Union Solidarity,1991,"Poland for the People, Solidarity for Poland"
PL,Poland,92522,PC,Partia Chrzescijanskich Demokratów,Party of Christian Democrats,1991,The Programm of the Centre Alliance
PL,Poland,92436,PiS,Prawo i Sprawiedliwosc,Law and Justice,2001,PROGRAM PRAWA I SPRAWIEDLIWO?CI
PL,Poland,92436,PiS,Prawo i Sprawiedliwosc,Law and Justice,2005,IV Rzeczpospolita
PL,Poland,92436,PiS,Prawo i Sprawiedliwosc,Law and Justice,2007,Program PiS 2007. Dbamy o Polsk?. Dbamy o Polaków
PL,Poland,92436,PiS,Prawo i Sprawiedliwosc,Law and Justice,2011,NOWOCZESNA SOLIDARNA BEZPIECZNA POLSKA
PL,Poland,92441,PJN,Polska jest Najwazniejsza,Poland Comes First,2011,Program Wyborczy 2011
PL,Poland,92810,PL ,Porozumienie Ludowe,Peasant Alliance,1991,The Election Committee of the Peasent Alliance
PL,Poland,92435,PO ,Platforma Obywatelska,Citizens´ Platform,2001,"Platforma Obywatelska, Program 2001 r."
PL,Poland,92435,PO,Platforma Obywatelska,Citizens´ Platform,2007,Polska zasluguje na cud gospodarczy
Pl,Poland,92435,PO,Platforma Obywatelska,Citizens´ Platform,2011,Nast?pny krok. Razem
PL,Poland,92521,POC,Porozumiene Obywatelskie Centrum,Civic Centre Alliance,1991,Polityczne Orientacje na dzi?
PL,Poland,92433,PPG,Kolo Poselskie Polski Program Gospodarczy,Polish Economic Program,1991,Kolo Poselskie, Polski Program Gospodarczy
PL,Poland,92431,PP,Polska Partia Przyjaciol Piwa,Polish Beer-Friends Party,1991,Program Polskiej Przyjacóli Piwa
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,1991,Programy partii I Ugrupowa? Parlamentarnych 1989-1991
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,1993,?ywi? Broni? Gospodaruj? 
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,1997,Deklaracja Ideowa PSL
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,2001,Deklaracja Wyborcza
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,2005,Skrót programu wyborczego PSL
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,2005,Deklaracja Wyborcza Polskiego Stronnictwa Ludowego
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,2007,Razem tworzymy lepsz? przysz?o?? (Zusammen schaffen wir eine bessere Zukunft)
PL,Poland,92811,PSL,Polskie Stronnictwo Ludowe,Polish Peasant Party,2011,Cz?owiek jest najwa?niejszy
PL,Poland,92712,PX,Partia X,Party X,1991,Programy Partii I Ugrupowa? Parlamentarnych
PL,Poland,92952,RAS,Ruch Autonomii ?l?ska,Bewegung fur die Autonomie Schlesiens,1991,Tylko Autonomia
PL,Poland,92621,ROP ,Ruch Odbudowy Polski,Movement for Rebuilding Poland,1997,Ruch Odbudowy Polski
PL,Poland,92440,RP,Ruch Palikota,Palikot's Movement,2011,Nowoczesna Polska
PL,Poland,92211,SD,Stronnictwo Demokratyczne,Democratic Party,1991,The election programme of the democratic party
