country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
PT,Portugal,35992,APU,Alianca povo unido,United People Alliance,1983,Programa 
PT,Portugal,35310,MDP,Movimento Democrático Português,Portuguese Democratic Movement,1985,‘Programa de máxima urgência’
PT,Portugal,35211,BE,Bloco de Esquerda,Left Bloc,2002,COM RAZÕES FORTES
PT,Portugal,35211,BE,Bloco de Esquerda,Left Bloc,2005,2005 TEMPO DE VIRAGEM
PT,Portugal,35211,BE,Bloco de Esquerda,Left Bloc,2009,PROGRAMA PARA UM GOVERNO QUE RESPONDA À URGÊNCIA DA CRISE SOCIAL A POLÍTICA SOCIALISTA PARA PORTUGAL
PT,Portugal,35211,BE,Bloco de Esquerda,Left Bloc,2011,COMPROMISSO ELEITORAL. BLOCO DE ESQUERDA 2011
PT,Portugal,35314,CDP-PP,Centro Democrático e Social – Partido Popular,Centro Democrático e Social – Partido Popular,2011,ESTE É O MOMENTO
PT,Portugal,35993,CDU,Coligação Democrático Unitária,Unified Democratic Coalition,2011,É NECESSÁRIA UMA ALTERNATIVA DE ESQUERDA
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1980,"Joint programme of APU Alianca do Povo Unido (United People’s Alliance): ‘Com o PCP com a APU - Maioria democrática, derrota da AD’"
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1983,‘Para uma nova política - PCP no governo’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1985,Joint programme of APU Alianca do Povo Unido (United People’s Alliance): ‘Vitória da APU para salvar o País’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1987,Joint programme of CDU Coligação Democrático Unitária (United Democratic Coalition): ‘Para uma maioria democrática e um governo democrático’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1991,‘Projecto de futuro para um Portugal Melhor’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1995,‘Uma nova política’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,1999,‘Uma política de esquerda para Portugal’
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,2002,1ª PARTE. AS GRANDES QUESTÕES NACIONAIS. PRINCIPAIS OBJECTIVOS E MEDIDAS URGENTES PARA UMA POLÍTICA DE ESQUERDA. 
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,2005,Programma Eleitoral
PT,Portugal,35220,PCP,Partido Comunista Português,Portuguese Communist Party,2009,Programa Eleitoral do PCP Legislativas 2009
PT,Portugal,35110,PEV,Partido Ecologista ‘Os Verdes’,Greens,1987,‘Dá muito trabalho defender esta flor e o seu mel. Mas é uma luta que vale a pena!’
PT,Portugal,35110,PEV,Partido Ecologista ‘Os Verdes’,Greens,2002,Pelas Pessoas - Pelo Ambiente - Pela Paz MANIFESTO ECOLOGISTA 
PT,Portugal,35110,PEV,Partido Ecologista ‘Os Verdes’,Greens,2005,ELEIÇÕES LEGISLATIVAS 2005 FALAR VERDADE AOS ELEITORES QUINZE MATÉRIAS PARA CLARIFICAR
PT,Portugal,35110,PEV,Partido Ecologista ‘Os Verdes’,Greens,2009,Manifesto Verde para as Eleições Legislativas 2009
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1983,Centro Democrático Social
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1985,Centro Democrático Social
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1987,‘Manifesto Eleitoral do CDS’
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1991,‘Programa Eleitoral 1991’
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1995,‘Vamos dar lugar a Portugal’
PT,Portugal,35520,PPI,Partido Popular,Popular Party,1999,Um novo modelo de Governo
PT,Portugal,35520,PPI,Partido Popular,Popular Party,2002,Programa de Governo
