country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
ES,Spain,33991,AIC,Agrupaciones Independientes de Canarias,,1993,PROGRAMA DE LA COALICIÓN BUSKO ALKARTASUMA+EUSKAL EZKERRA PARA LAS ELECCIONES GENERALES DEL 6 DE JUNIO DE 1993
ES,Spain,33512,CDS,Centró Democrático y Social,Centre Democrats,1982,"Programa electoral, Octubre 1982"
ES,Spain,33512,CDS,Centró Democrático y Social,Centre Democrats,1986,Programa electoral del Centro Democrático y Social Elecciones Generales Junio 1986
ES,Spain,33512,CDS,Centró Democrático y Social,Centre Democrats,1989,"Programa electoral, Elecciones Generales, Octubre 1989"
ES,Spain,33512,CDS,Centró Democrático y Social,Centre Democrats,1993,‘Ahora más que nunca. El Centro es necesario’
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,1982,‘Anar per feina a Madrid. Què farem? Les 104 propostes de Convergència i Unió per a modernitzar l’Estat.’
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,1986,‘Un Aire Nou Al Govern! El Nostre Programa - Convergència i Unió’
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,1989,‘Un Programa Amb Força’. Convergència i Unió – L’únic Group Parlamentari Català a Madrid
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,1993,Programa Electoral de Convergéncia i Unio
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,2004,PROPOSTA DE PROGRAMA ELECTORAL PER A LES ELECCIONS A LES CORTS GENERALS 2004.
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,2008,Els nostres compromisos
ES,Spain,33611,CiU,Convergència i Unió,Convergence and Unity,2011,Pensem en positui
ES,Spain,33220,IU,Izquierda Unida,United Left,1982,Programa Electoral del Partido Communista de España 
ES,Spain,33220,IU,Izquierda Unida,United Left,1986,Programa Electoral de Izquierda Unida
ES,Spain,33220,IU,Izquierda Unida,United Left,1989,‘Sómos la Alternativa’
ES,Spain,33220,IU,Izquierda Unida,United Left,1993,‘iu-si’. Programa electoral legislativas ‘93
ES,Spain,33220,IU,Izquierda Unida,United Left,1996,Programa elecciones generales‘96
ES,Spain,33220,IU,Izquierda Unida,United Left,2000,Programa elecciones generales 2000
ES,Spain,33220,IU,Izquierda Unida,United Left,2004,"Capaces de soñar, Capaces de gobernar."
ES,Spain,33220,IU,Izquierda Unida,United Left,2008,Mas izquierda
ES,Spain,33220,IU,Izquierda Unida,United Left,2011,MUNICIPIOS GENERADORES DE EMPLEO Y RIQUEZA
ES,Spain,33438,PDP,Partido Demócrata Popular,Popular Democratic Party,1986,"Joint programme of CP Coalición Popular (Popular Coalition), alliance including AP 22610, PDP 33438, and PL 33439: Programa de Gobierno"
ES,Spain,33610,PP,Partido Popular,Popular Party,1982,‘Soluciones para España’
ES,Spain,33610,PP,Partido Popular,Popular Party,1986,‘Esto tiene arreglo’
ES,Spain,33610,PP,Partido Popular,Popular Party,1989,"El proyecto Popular. Todo lo que el Partido Popular va a cambiar"
ES,Spain,33610,PP,Partido Popular,Popular Party,1993,‘Ahora. Programa de Gobierno para todos’
ES,Spain,33610,PP,Partido Popular,Popular Party,1996,‘Con la nueva majoria’
ES,Spain,33610,PP,Partido Popular,Popular Party,2000,‘El compromiso del centro’
ES,Spain,33610,PP,Partido Popular,Popular Party,2004,AVANZAMOS JUNTOS. PROGRAMA DE GOBIERNO DEL PARTIDO POPULAR. ELECCIONES GENERALES DE 2004
ES,Spain,33610,PP,Partido Popular,Popular Party,2008,Las ideas claras
ES,Spain,33610,PP,Partido Popular,Popular Party,2011,Lo que España necesita
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,1982,‘Por el cambi’ 
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,1986,"Para seguir avanzando, por buen camino"
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,1989,‘España en progreso’
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,1993,Programa Electoral 1993
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,1996,‘España en positive’
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2000,Programa Electoral 2000. 
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2004,Zapatero Presidente. merecemos una España mejor. Soluciones ahora.
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2008,Motivos para creer
ES,Spain,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2011,UN PROGRAMA ELECTORAL PARA GANAR EL FUTURO
ES,Spain,33430,UCD,Unión de Centro Democrático,Union of the Democratic Centre/Centrist Bloc,1982,Programa electoral de UCD
ES,Spain,33992,UP,Union Progreso y Democracia,Union,Progress and Democracy,2008,Elecciones Generales 2008
ES,Spain,33992,UP,Union Progreso y Democracia,Union,Progress and Democracy,2011,PROGRAMA MARCO ELECCIONS MUNICIPAIS 2011
