country_abbr,country_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CH,Switzerland,43811,BDP,Bürgerlich-Demokratische Partei Schweiz,Conservative Democratic Party of Switzerland,2011,Die neue Kraft
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,1983,Programme des points forts du PDC pour la législature 1983-1987
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,1987,II. Complements au Programme du PDC pour les années 1987-1991
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,1991,‘Zukunft für alle’
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,1995,‘Die Kraft im Zentrum. Unsere Leistungen - unsere Ziele 1991-2000’
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,1999,‘CVP-Impulse zum Start ins 21. Jahrhundert’
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,2003,"Gemeinschaft Schweiz. Vision, Auftrag und Ziele der CVP 2003-2007"
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,2007,Wahlvertrag 07
CH,Switzerland,43520,CVP/PDC,Christlich Demokratische Volkspartei der Schweiz,Christian Democratic People’s Party,2011,Keine Schweiz ohne uns.
CH,Switzerland,43711,EDU,Eidgenössisch-Demokratische Union,Federal Democratic Union,2003,Aktionsprogramm 2003-2007
CH,Switzerland,43711,EDU,Eidgenössisch-Demokratische Union,Federal Democratic Union,2011,Positionen der EDU Schweiz
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,1991,Schwerpunkte-Programm
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,1995,Wahlplattform 1995 der EVP der Schweiz
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,1999,"Geschichte und Zielsetzungen, Akzente, Das Team, Soziales, Umwelt, Wirtschaft, Gesellschaft"
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,2003,‘Teilen macht ganz’
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,2007,Wahlplattform der Evangelischen Volkspartei
CH,Switzerland,43530,EVP/PEP,Evangelische Volkspartei der Schweiz,Protestant People’s Party,2011,Wahlplattform mit Argumentarium
CH,Switzerland,43420,FDP/PRD,Freisinnig-Demokratische Partei,Radical Democratic Party,1983,FDP. Freisinnig-Demokratische Partei der Schweiz
