"","Country name","CMP code","Acronym","Party name (engl.)"
"86","United Kingdom",0,"AP",""
"110","United Kingdom",0,"Sinn",""
"272","Poland",92.301,"LiD","Left and Democrats"
"214","Norway",1240,"V","Liberal Party"
"325","Sweden",11110,"MP","Green Ecology Party"
"326","Sweden",11220,"Vp","Left Party"
"330","Sweden",11320,"SdaP","Social Democratic Labor Party"
"327","Sweden",11420,"FP","Liberal People’s Party"
"324","Sweden",11520,"KdS","Christian Democratic Community Party"
"328","Sweden",11620,"MSP","Moderat Coalition Party"
"331","Sweden",11710,"SD","Sweden Democrats"
"247","Sweden",11810,"CP ","Centre Party"
"329","Sweden",11951,"NyD","New Democracy"
"253","Norway",12220,"NKP","Norwegian Communist Party"
"254","Norway",12221,"SV","Socialist Left Party"
"252","Norway",12320,"DANN","Labour"
"215","Norway",12420,"V","Liberal Party"
"249","Norway",12520,"KrF","Christian People’s Party"
"251","Norway",12620,"H","Conservative Party"
"248","Norway",12810,"SP","Centre Party"
"74","Norway",12951,"FrP","Progress Party"
"73","Denmark",13001,"Ny","Ny Alliance"
"71","Denmark",13210,"Y","Left Socialists"
"66","Denmark",13221,"P","Common Course"
"76","Denmark",13229,"Enh","Red-Green Alliance"
"81","Denmark",13230,"SF","Socialist People's Party"
"79","Denmark",13320,"SD","Social Democratic Party"
"63","Denmark",13330,"CD","Centre Democrats"
"69","Denmark",13410,"RV","Danish Social Liberal Party"
"72","Denmark",13420,"V","Liberals"
"65","Denmark",13520,"KrF","Christian Democrats"
"67","Denmark",13620,"KF","Conservative People's Party"
"68","Denmark",13720,"DF","Danish Peoples Party"
"75","Denmark",13951,"FrP","Progress Party"
"70","Denmark",13952,"E","Justice Party"
"138","Finland",14110,"VL","Green Union"
"136","Finland",14221,"SKDL","Finnish People’s Democratic Union"
"133","Finland",14222,"DEVA","Democratic Alternative"
"113","Finland",14223,"VL",""
"137","Finland",14320,"SSDP","Finnish Social Democrats"
"141","Finland",14430,"NSP","Progressive Finnish Party"
"135","Finland",14520,"SKL","Finnish Christian Union"
"140","Finland",14620,"KK","National Coalition"
"134","Finland",14810,"SK","Finnish Centre"
"143","Finland",14820,"PS","True Finns"
"142","Finland",14901,"RKP/SFP","Swedish People’s Party"
"23","Belgium",21111,"Ecol","Francophone Ecologists"
"26","Belgium",21112,"Groe","Green!"
"34","Belgium",21221,"SPA","Spirit - Socialist Party Different"
"21","Belgium",21321,"SP","Flemish Socialist Party"
"25","Belgium",21322,"PS","Francophone Socialist Party"
"35","Belgium",21402,"Viv","Vivant"
"29","Belgium",21403,"LDD","List Dedecker"
"20","Belgium",21421,"VLD","Flemish Liberals and Democrats"
"24","Belgium",21422,"PRL","Francophone Liberals"
"17","Belgium",21423,"FDF","Democratic Front of the Francophones"
"28","Belgium",21423,"FDF","Liberal Reformation Party - Francophone Democratic Front - Citizens for Change Movement"
"18","Belgium",21425,"FDF","Democratic Front of the Francophones"
"33","Belgium",21426,"MR","Reformist Movement"
"14","Belgium",21521,"CVP","Christian Peoples Party"
"15","Belgium",21522,"PSC","Christian Social Party"
"13","Belgium",21523,"CD&V","Christian Democratic and Flemish"
"27","Belgium",21524,"CDH","Humanist Democratic Centre"
"36","Belgium",21911,"RW","Walloon Rally"
"22","Belgium",21912,"FDF","Francophone Democratic Front"
"32","Belgium",21913,"VU","Peoples Union"
"19","Belgium",21914,"VB","Flemish Bloc"
"16","Belgium",21915,"VU","De Volksunie – Ideen voor de 21ste eeuw"
"30","Belgium",21916,"NVA","New-Flemish Alliance"
"31","Belgium",21917,"FNB","New Belgium Front"
"240","Netherlands",22110,"GL","Green Left"
"90","Netherlands",22201,"CPN",""
"106","Netherlands",22202,"PSP",""
"152","Netherlands",22220,"SP","Socialist Party"
"245","Netherlands",22310,"PPR","Radical Political Party"
"187","Netherlands",22320,"PvdA","Labour Party"
"239","Netherlands",22330,"D’66","Democrats‘66"
"244","Netherlands",22420,"VVD","People’s Party for Freedom and Democracy"
"100","Netherlands",22430,"LN",""
"96","Netherlands",22501,"GPV",""
"109","Netherlands",22502,"SGP",""
"246","Netherlands",22503,"RPF","Reformational Political Federation"
"237","Netherlands",22521,"CDA","Christian Democratic Appeal"
"238","Netherlands",22526,"CU","Christian Union"
"242","Netherlands",22601,"PVV","Party for Freedom"
"87","Netherlands",22701,"CD",""
"241","Netherlands",22720,"LPF","List Pim Fortuyn"
"236","Netherlands",22906,"50+","50PLUS"
"84","Netherlands",22951,"AOV",""
"243","Netherlands",22952,"PvdD","Party for the Animals"
"85","Netherlands",22953,"AOV",""
"228","Luxembourg",23111,"GLEI","Green Left Ecological Initiative"
"10","Luxembourg",23112,"GAP","Green Alternative"
"229","Luxembourg",23113,"GLEI-GAP","Green Left Ecological Initiative- Green Alternative"
"231","Luxembourg",23113,"Déi Gréng","The Greens"
"232","Luxembourg",23202,"Déi Lénk","The Left"
"227","Luxembourg",23220,"PCL/KPL","Communist Party"
"230","Luxembourg",23320,"POSLCLSAP","Socialist Workers’ Party"
"199","Luxembourg",23420,"PD/DP","Democratic Party"
"226","Luxembourg",23520,"PCS/CSV","Christian Social People’s Party"
"225","Luxembourg",23951,"ADR","Action Committee for Democracy and Pension Justice"
"122","France",31110,"Éco","Greens"
"144","France",31111,"GE","Ecology Generation"
"145","France",31220,"PCF","French Communist Party"
"150","France",31320,"PS","Socialist Party"
"82","France",31621,"",""
"95","France",31621,"Gaul",""
"153","France",31624,"UDF","Union for French Democracy"
"148","France",31625,"RPR","Rally for the Republic"
