country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,3,Niederösterreich,42110,GA,Die Grüne Alternative,Green Alternative,2008,Das Grüne Programm Niederösterreich 2008
AT,Austria,3,Niederösterreich,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2008,Eine andere Politik ist möglich! Wahlprogramm der KPÖ-NÖ
AT,Austria,3,Niederösterreich,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2003,Programm für Niederösterreich
AT,Austria,3,Niederösterreich,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2008,Arbeit für Niederösterreich
AT,Austria,3,Niederösterreich,42320,SPÖ,Sozialdemokratische Partei Östererichs,Austrian Social Democratic Party,2009,Positionen
AT,Austria,3,Niederösterreich,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2003,WP
AT,Austria,3,Niederösterreich,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2003,Wie sieht die SP NÖ unser Land
AT,Austria,3,Niederösterreich,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2008,Mit gantem Herzen für unser Niederösterreich
AT,Austria,3,Niederösterreich,42110,GA,Die Grüne Alternative,Green Alternative,2013,Wahlprogramm Landtagswahl 2013
AT,Austria,3,Niederösterreich,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria,2013,Mut zur Heimat - Niederösterreich zuerst!
AT,Austria,3,Niederösterreich,42110,GA,Die Grüne Alternative,Green Alternative,2018,Grünes Programm. Machen nur wir.
AT,Austria,3,Niederösterreich,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Party of Austria,2018,Freiheitliche Partei Niederösterreich Wahlprogramm
AT,Austria,3,Niederösterreich,42450,neos,Das Neue Österreich und Liberales Forum,The new Austria and Liberal Forum,2018,Bewegung für NÖ. Neue Politik rein, alter Trott raus.
