country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,4,Oberösterreich,42422,BZÖ,Bündnis Zukunft Österreich ,,2009,Der Haubner Plan 
AT,Austria,4,Oberösterreich,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2009,Bereit zur Verantwortung - Das Wahlprogramm 2009
AT,Austria,4,Oberösterreich,42110,GA,Die Grüne Alternative ,Green Alternative,1991,Ökologische Soziale Demokratische Leitbilder für Oberösterreich
AT,Austria,4,Oberösterreich,42110,GA,Die Grüne Alternative ,Green Alternative,2002,Grundsatzprogramm der Grünen Oberösterreich
AT,Austria,4,Oberösterreich,42110,GA,Die Grüne Alternative ,Green Alternative,2007,Das grüne Programm für Oberösterreich
AT,Austria,4,Oberösterreich,42110,GA,Die Grüne Alternative ,Green Alternative,2009,No title
AT,Austria,4,Oberösterreich,42100,GA,Die Grüne Alternative ,Green Alternative,2003,Die Zeit is reif
AT,Austria,4,Oberösterreich,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2009,Widerspruch ist wählbar 
AT,Austria,4,Oberösterreich,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2003,‘Es geht um unser Land’
AT,Austria,4,Oberösterreich,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2009,Oberösterreich tut mehr - Das ÖVP Zukunftsprogramm 2009-2013
AT,Austria,4,Oberösterreich,42110,GA,Die Grüne Alternative ,Green Alternative,2015,Damit Oberösterreich oben bleibt.
AT,Austria,4,Oberösterreich,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2015,Der Oberösterreich - Plan
AT,Austria,4,Oberösterreich,42320,SPÖ,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,2015,Gerechtigkeit verbindet
