country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,5,Salzburg,42422,BZÖ,Bündnis Zukunft Österreich ,,2009,Zeit für Neues, Zeit für Taten - Denn Salzburg ist mehr 
AT,Austria,5,Salzburg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,1994,Wahlprogramm der FPÖ
AT,Austria,5,Salzburg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,1999,Die Freiheitlichen Salzburg - Wir leisten mehr für Land und Leute
AT,Austria,5,Salzburg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2004,Programm der FPÖ Salzburg 2004
AT,Austria,5,Salzburg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2009,Heimatland in Heimathand: Deshalb FPÖ
AT,Austria,5,Salzburg,42110,GA ,Die Grüne Alternative ,Green Alternative,2009,Neue Energie für Salzburg
AT,Austria,5,Salzburg,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2009,Salzburg: KPÖ-Wahlprogramm 2009
AT,Austria,5,Salzburg,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2004,Zukunftsprogramm für unser Salzburg. Ein Land zum Leben. 
AT,Austria,5,Salzburg,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2013,Zukunftsweisend Österreich 2018: Das Programm der ÖVP zur Nationalratswahl 2013
AT,Austria,5,Salzburg,42520,ÖVP,Österreichische Volkspartei ,Austrian People’s Party,2009,Wir handeln. Salzburg profitiert!
AT,Austria,5,Salzburg,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2009,Salzburg schaut nach vorn!
AT,Austria,5,Salzburg,42320,SPÖ ,Sozialdemokratische Partei Östererichs,Austrian Social Democratic Party,2013,Besser machen. Zukunft für Salzburg
AT,Austria,5,Salzburg,42953,Stron,Team Stronach,Team Stronach,2013,Team Stronach bringt Sauberkeit & Kontrolle in Salzburgs Politik
