country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,6,Steiermark,42422,BZÖ,Bündnis Zukunft Österreich ,,2010,Gerald Grosz - Der traut sich was! Mein Wahlprogramm. 
AT,Austria,6,Steiermark,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2005,Die Zukunft ist steirisch. Blau
AT,Austria,6,Steiermark,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2010,Mehr Sicherheit Mehr Freiheit Mehr Heimat Freiheitliches Wahlprogramm für die Steirischen Landtagswahlen 2010
AT,Austria,6,Steiermark,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2015,Arbeitsplätze für die Steirer!
AT,Austria,6,Steiermark,42110,GA,Die Grüne Alternative ,Green Alternative,2005,Politik für morgen - 11 Themen für die Steiermark
AT,Austria,6,Steiermark,42110,GA,Die Grüne Alternative ,Green Alternative,2015,Deine Steiermark gewinnt mit Grün.
AT,Austria,6,Steiermark,42110,GA ,Die Grüne Alternative ,Green Alternative,2010,Deshalb müssen die Grünen rein
AT,Austria,6,Steiermark,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2005,Helfen statt Reden. Sozialpolitik statt Eventpolitik
AT,Austria,6,Steiermark,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2005,Analysen und programmatische Vorschläge der KPÖ Steiermark
AT,Austria,6,Steiermark,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2010,No title
AT,Austria,6,Steiermark,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2015,Eine wichtige Stimme für Gerechtigkeit
AT,Austria,6,Steiermark,42450,NEOS,Das Neue Österreich und Liberales Forum,Das Neue Österreich und Liberales Forum,2015,Einfach machen. 9 1/2 Punkte für die Steiermark
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1991,Unsere positiven Argumente für die Landtagswahl Steiermarkaktiv
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,1995,Im Interesse der Steiermark
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2000,No title
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2005,Ja! Zur Steiermark
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2009,Der weiß grüne Weg
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2010,"Steiermark wege für die Grundsätze, Herausforderungen und Ziele für die Zukunft unseres Landes"
AT,Austria,6,Steiermark,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2015,Denken. Handeln. Leben. Für die Steiermark. In der Steiermark
AT,Austria,6,Steiermark,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2000,10 Punkte für eine sichere Zukunft unserer Steiermark! Wir halten zu Euch!
AT,Austria,6,Steiermark,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2005,Der Power-Plan für die Steiermark
AT,Austria,6,Steiermark,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2010,Das Anliegen, das uns alle vereint.
AT,Austria,6,Steiermark,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2015,Impuls-Plan Steiermark.
