country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,7,Tirol,42952,Fritz,Liste Fritz Dinkhauser ,Liste Fritz Dinkhauser ,2008,Für ein gerechtes Tirol
AT,Austria,7,Tirol,42110,GA,Die Grüne Alternative,Green Alternative,1999,Das Programm 
AT,Austria,7,Tirol,42110,GA,Die Grüne Alternative,Green Alternative,2003,Tirol bricht auf! Wahlprogramm der Tiroler Grünen
AT,Austria,7,Tirol,42110,GA,Die Grüne Alternative,Green Alternative,2008,Tirol kriegt die Kurve. Wahlprogramm der Tiroler Grünen
AT,Austria,7,Tirol,42110,GA,Die Grüne Alternative,Green Alternative,1994,Gemeinsam Tirol ökologisch gestalten 
AT,Austria,7,Tirol,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2002,No title
AT,Austria,7,Tirol,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2002,No title
AT,Austria,7,Tirol,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2008,Es ist genug für alle da. Themenpapier zu den Tiroler Landtagswahlen 2008
AT,Austria,7,Tirol,42110,GA,Die Grüne Alternative,Green Alternative,2013,Damit Tirol grün bleibt
AT,Austria,7,Tirol,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2018,Freu dich Tirol Die neue SPÖ Tirol ist da!
