country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,8,Vorarlberg,42422,BZÖ,Bündnis Zukunft Österreich ,,2009,Wahlprogramm BZÖ Vorarlberg
AT,Austria,8,Vorarlberg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2014,Für eine blühende Zukunft. Zukunftsprogramm 2014-2019. Vorarlberg zuerst.
AT,Austria,8,Vorarlberg,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2009,Zukunftsprogramm 2009-2014
AT,Austria,8,Vorarlberg,42110,GA,Die Grüne Alternative ,Green Alternative,2008,Programm der Vorarlberger Grünen 
AT,Austria,8,Vorarlberg,42110,GA,Die Grüne Alternative ,Green Alternative,2008,Programm der Vorarlberger Grünen 
AT,Austria,8,Vorarlberg,42110,GA,Die Grüne Alternative ,Green Alternative,2014,Visionen Projekte Pläne für Vorarlberg
AT,Austria,8,Vorarlberg,42001,Gem,Vorarlberg gemmeinsam gestalten,Voralberg gemeinsam gestalten ,2014,Vorarlberg gemeinsam gestalten. Arbeitsprogramm 2014-2019
AT,Austria,8,Vorarlberg,42450,NEOS,Das Neue Österreich und Liberales Forum,Das Neue Österreich und Liberales Forum,2014,Pläne für ein neues Vorarlberg
AT,Austria,8,Vorarlberg,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2004,Menschlich, Leistungsfähig und Eigenständig Echt!
AT,Austria,8,Vorarlberg,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2009,So handelt Vorarlberg 
AT,Austria,8,Vorarlberg,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2014,Vor allem. Vorarlberg. Das Programm der Vorlarlberger Volkspartei zur Landtagswahl 2014
AT,Austria,8,Vorarlberg,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,1999,Wahlprogramm der SPÖ Vorarlberg
AT,Austria,8,Vorarlberg,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2004,Nahe beim Menschen - Leitbild für Vorarlberg
AT,Austria,8,Vorarlberg,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2009,Wahlprogramm der SPÖ Vorarlberg für die Landtagswahlen 2009
AT,Austria,8,Vorarlberg,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2014,7 mal 7 plus 7 starke Vorschläge für ein sozial gerechtes Vorarlberg
