country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
AT,Austria,9,Wien,42422,BZÖ,Bündnis Zukunft Österreich ,,2005,Wahlprogramm
AT,Austria,9,Wien,42422,BZÖ,Bündnis Zukunft Österreich ,,2010,Die Zukunftsmacher
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,1991,Zeitgerecht
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,1996,Damit uns Wien Heimatstadt bleibt
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2001,Programm für Wien 2001 - Die einzige Alternative 
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2005,Wahlprogramm
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2010,"Für ein besseres, sozial gerechteres und sicheres Wien 2010"
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2013,Politik der Nächstenliebe 
AT,Austria,9,Wien,42110,GA,Die Grüne Alternative,Green Alternative,2005,Wiener Mut
AT,Austria,9,Wien,42220,KPÖ,Kommunistische Partei Österreichs,Austrian Communist Party,2010,Wir versprechen Widerspruch: Ausstieg links KPÖ
AT,Austria,9,Wien,42520,ÖVP,Österreichische Volkspartei,Austrian People’s Party,2010,Wahlprogramm 2010 für Wien 
AT,Austria,9,Wien,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2005,Wählen wir Zukunft - Wählen wir Wien. 
AT,Austria,9,Wien,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2009,Das Programm für Wien für die Jahre 2010-2015
AT,Austria,9,Wien,42110,GA,Die Grüne Alternative,Green Alternative,2015,Dein Wien kann mehr
AT,Austria,9,Wien,42320,SPÖ,Sozialdemokratische Partei Österreichs,Austrian Social Democratic Party,2015,SPÖ Wien 2015
AT,Austria,9,Wien,42420,FPÖ,Freiheitliche Partei Österreichs,Freedom Movement,2015,Wahlprogramm der Wiener FPÖ
