country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
BE,Belgium,1,,21523,CD&V,Christen Democratisch en Vlaams ,Christian Democratic and Flemish ,2004,Verkiezingsprogramma Brussels Hoofdstedelijk Gewest 2004
BE,Belgium,1,,21523,CD&V,Christen Democratisch en Vlaams ,Christen Democratic and Flemish,2009,STERK IN MOEILIJKE TIJDEN
BE,Belgium,1,,21524,CDH,Centre Démocrate Humaniste,Humanist Democratic Centre,2009,No title
BE,Belgium,1,,21111,Ecol,Écologistes Confédérés pour lOrganisation de Luttes Originales ,Francophone Ecologists,2004,LES PRIORITÉS VERTES POUR BRUXELLES C’EST POUR AUJOURD’HUI ET POUR DEMAIN
BE,Belgium,1,,21111,Ecol,Écologistes Confédérés pour lOrganisation de Luttes Originales ,Francophone Ecologists,2009,PROGRAMME ECOLO Elections Regionales 2009 Bruxelles-Capitale Complement au Programme General 
BE,Belgium,1,,21112,Groe,Groen!,Green!,2004,En Groen! recept voor de toekomst - Jij beslist!
BE,Belgium,1,,21112,Groe,Groen!,Green!,2004,En Groen! recept voor de toekomst - Jij beslist!
BE,Belgium,1,,21112,Groe,Groen!,Green!,2009,De toekomst will vooruit
BE,Belgium,1,,21403,LDD,Lijst Dedecker,List Dedecker,2009,Programaadag 21 maart 2009
BE,Belgium,1,,21426,MR,Mouvement Réformateu,Reformist Movement,2009,Le Programme Complet du Mouvement Reformateur elections 2009
BE,Belgium,1,,21916,NVA,Nieuw-Vlaamse Alliantie,New-Flemish Alliance,2009,Afrit Vlaanderen-Uitrit crisis
BE,Belgium,1,,21322,PS ,Parti Socialiste,Francophone Socialist Party,2009,PROGRAMME DES SOCIALISTES BRUXELLOIS POUR LES ELECTIONS REGIONALES DU 7 JUIN 2009
BE,Belgium,1,,21321,SP,Socialistische Partij ,Flemish Socialist Party,2004,Brussel, 250 keer beter
BE,Belgium,1,,21401,Spi,Spirit,Spirit-de social-liberal partji,2004,"""BRUSSEL STUK VAN ONS""-een boeiend project"
BE,Belgium,1,,21421,VLD,Vlaamse Liberalen en Demokraten ,Flemish Liberals and Democrats,2004,Beter voor Brussel
BE,Belgium,1,,21421,VLD,Vlaamse Liberalen en Demokraten ,Flemish Liberals and Democrats,2009,No title
