country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
BE,Belgium,2,Flanders,21523,CD&V,Christen Democratisch en Vlaams ,Christian Democratic and Flemish,2004,U verdient meer respect.
BE,Belgium,2,Flanders,21523,CD&V,Christen Democratisch en Vlaams ,Christen Democratic and Flemish,2009,STERK IN MOEILIJKE TIJDEN
BE,Belgium,2,Flanders,21112,Groen,Groen!,Green!,2004,Vera zoekt… 280.000 mensen voor wie politiek over inhoud gaat.
BE,Belgium,2,Flanders,21112,Groen,Groen!,Green!,2009,De toekomst will vooruit
BE,Belgium,2,Flanders,21403,LDD,Lijst Dedecker,List Dedecker,2009,LDD-programma Vlaamse verkiezingen
BE,Belgium,2,Flanders,21916,NVA,Nieuw-Vlaamse Alliantie,New-Flemish Alliance,2009,Voorstellen voor het Vlaanderen van de 21ste eeuw
BE,Belgium,2,Flanders,21916,NVA,Nieuw-Vlaamse Alliantie ,New-Flemish Alliance,2004,Voorstellen voor het Vlaanderen van de 21ste eeuw
BE,Belgium,2,Flanders,21321,SP,Socialistische Partij ,Flemish Socialist Party,2004,Vlaams programma
BE,Belgium,2,Flanders,21321,SP,Socialistische Partij ,Flemish Socialist Party,2009,Een zekere en eerlijke toekomst voor Vlaanderen
BE,Belgium,2,Flanders,21401,Sp./SPL,Spirit ,Spirit-de social-liberal partji,2004,SPIRIT-VERKIEZINGSPROGRAMMA
BE,Belgium,2,Flanders,21914,VB,Vlaams Block ,Flemish Bloc,2009,VLeerst!
BE,Belgium,2,Flanders,21914,VB ,Vlaams Block ,Flemish Bloc,2004,Programmaboek 2004
BE,Belgium,2,Flanders,21421,VLD,Vlaamse Liberalen en Demokraten ,Flemish Liberals and Democrats,2009,Er zit meer in vlaanderen
