country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,4,Hradec Kralove,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2004,Waglprogramm der ?SSD für die Regionalwahlen für den Zeitraum 2004-2008
CZ,Czech Republic,4,Hradec Kralove,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Krajské volby 2008 - 
CZ,Czech Republic,4,Hradec Kralove,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Spravedlivé reformy ?SSD. Stabilita a prosperita pro ob?any Královéhradeckého krajepro období 2012 – 2016 [Gerechte Reformen der CSSD. Stabilität und Prosperität für die Bürger der Region Hradec Králové für den Zeitraum 2012-2016
CZ,Czech Republic,4,Hradec Kralove,82403,KOA,"Koalition (SOS, VMP, ED)",,2004,Volební program koalice ED - VPM - SOS (Wahlprogramm der Koalition ED-VPM-SOS)
CZ,Czech Republic,4,Hradec Kralove,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2008,Program na letá?ek do domácností (Programm für die Flyer für Haushalte)
CZ,Czech Republic,4,Hradec Kralove,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2012,Volební program [Wahlprogramm]
CZ,Czech Republic,4,Hradec Kralove,82220,KSCS,Kommunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2008,Volební program KS?M pro volby do zastupitelstva Královéhradeckého kraje 2008 (Wahlprogramm der KS?M für die Regionalwahlen) 
CZ,Czech Republic,4,Hradec Kralove,82220,KSCS,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Volební program KS?M pro volby do Zastupitelstva Královéhradeckého kraje 2012 [Wahlprogramm der KSCM für die Wahl zur Vertretung der Region Hradec Kralove 2012]
CZ,Czech Republic,4,Hradec Kralove,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Volební program (Wahlprogramm)
CZ,Czech Republic,4,Hradec Kralove,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební magazín 2012 - Volte zájmy našich mest a obcí [Wahlmagazin 2012 - Wählen sie die interessen unserer Städte und Gemeinden]
CZ,Czech Republic,4,Hradec Kralove,82603,TOP 09,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,Volební program [Wahlprogramm]
