country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,3,Karlovy Vary,82402,ApK,Alternativa pro Kraj,Alternative for Karlsbad,2008,Volební Program pro Kraj (Wahlprogramm für die Region)
CZ,Czech Republic,3,Karlovy Vary,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2004,Karlovarský Kraj (Region Karlsbad)
CZ,Czech Republic,3,Karlovy Vary,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Volební program Karlovarského kraje pro období 2008-2012 (Wahlprogramm der Region Karlsbad für den Zeitraum 2008-2012)
CZ,Czech Republic,3,Karlovy Vary,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Krajské volby - nas program [Regionalwahlen - unser Programm]
CZ,Czech Republic,3,Karlovy Vary,82901,HDZJ,D?chodci za životní jistoty,Pensioners for Life Securities,2008,Program
CZ,Czech Republic,3,Karlovy Vary,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2004,Karlovarský Kraj (Region Karlsbad)
CZ,Czech Republic,3,Karlovy Vary,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2008,Naše Priority (Unsere Prioritäten)
CZ,Czech Republic,3,Karlovy Vary,82220,KSCS,Kommunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2008,Volební Program KS?M pro volby do zastupitelstva Karlovarského Kraje (Wahlprogram der KS?M für die Wahlen …)
CZ,Czech Republic,3,Karlovy Vary,82220,KSCS,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Volební program Komunistické strany ?ech a Moravy pro volby do Zastupitelstva Karlovarského kraje – podzim 2012 [Wahlprogramm der KSCM für die Regionalvertretung der Region Karlsbad - Herbst 2012]
CZ,Czech Republic,3,Karlovy Vary,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Volební program (Wahlprogramm)
CZ,Czech Republic,3,Karlovy Vary,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Program Ob?anské Demokratické Strany. Volby do zastupitelstva Karlovarského kraje 2012 [Program der ODS. Wahlen für die Vertretung der Region Karlsbad 2012]
CZ,Czech Republic,3,Karlovy Vary,82603,TOP 09,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,Volební program TOP 09 a STAN pro krajské volby 2012 v Karlovarském kraji [Wahlprogramm der TOP09 und STAN für Regionalwahlen in der Region Karlsbad 2012]
