country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,7,Olomouc,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Volební program ?SSD 2008 - 2012: Rozhodn?te s námi o budoucnosti (Entscheiden sie mit und über die Zukunft)
CZ,Czech Republic,7,Olomouc,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Program ?SSD pro Olomoucký kraj [Wahlprogramm der CSSD für die Region Olomouc]
CZ,Czech Republic,7,Olomouc,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2004,Olomoucký Kraj (Region Olmütz)
CZ,Czech Republic,7,Olomouc,82523,KDU-CSL,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2008,Volební program (Wahlprogramm)
CZ,Czech Republic,7,Olomouc,82220,KSCS,Kommunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2008,Volební program KS?M v Olomouckém kraji na období 2008-2012 (Wahlprogramm der KS?M in der Region Olmütz im Zeitraum 2008-2012)
CZ,Czech Republic,7,Olomouc,82220,KSCS,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,VOLEBNÍ PROGRAM KS?M PRO OLOMOUCKÝ KRAJ NA OBDOBÍ 2012–2016 (Wahlprogramm der KS?M in der Region Olmütz im Zeitraum 2012-2016)
CZ,Czech Republic,7,Olomouc,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,Volební program ODS pro volby do zastupitelstva kraje 2004 v Olomouckém kraji 
CZ,Czech Republic,7,Olomouc,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Volební program ODS pro volby do Zastupitelstva Olomouckého kraje 2008 (Wahlprogramm der ODS für die Regionalvertretung in der Region Olmütz 2008)
CZ,Czech Republic,7,Olomouc,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební program ODS pro krajské volby 2012 [Wahlprogramm der ODS für die Regionalwahlen 2012]c
CZ,Czech Republic,7,Olomouc,82995,KOA,Koalice (KDU-CSL + SNK ED + Nestranníci),,2012,Volebního programu Koalice pro Olomoucký kraj spole?ne se starosty pro krajské volby 2012
CZ,Czech Republic,7,Olomouc,82603,TOP 09,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,VOLEBNÍ PROGRAM. ZODPOV?DNÍ ŽIJÍ BEZ DLUH? [Wahlprogramm. Verantwortungsbewusste leben ohne Schulden]
