country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,8,Pardubice,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Šance na zm?nu (Chance für Veränderung)
CZ,Czech Republic,8,Pardubice,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Volební abeceda [Das Wahlalphabet]
CZ,Czech Republic,8,Pardubice,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2004,Programm der KDU-CSL für die Regionalwahlen 2008
CZ,Czech Republic,8,Pardubice,82220,KSCM,Kommunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2008,Volební program (Wahlprogramm)
CZ,Czech Republic,8,Pardubice,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Priority volebního programu Komunistické strany ?ech a Moravy pro volby do Zastupitelstva Pardubického kraje na léta 2012 – 2016 [Prioritäten des Wahlprogramms (...) für den Zeitraum 2012-2016]
CZ,Czech Republic,8,Pardubice,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,Volební program ODS pro volby do zastupitelstva kraje 2004 v Olomouckém kraji
CZ,Czech Republic,8,Pardubice,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Volební program ODS pro krajské volby 2008 (Wahlprogramm der ODS für die Regionalwahlen 2008)
CZ,Czech Republic,8,Pardubice,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební magazín 2012 - Smysluplné a fungujíci vedení kraje [Wahlmagazin 2012 - Sinnvolle und funktionierenden Führung der Region]
CZ,Czech Republic,8,Pardubice,82995,SPP,Koalice (KDU-CSL + SNK ED + Nestranníci),,2008,"VOLBA 2008 Program, kterému m?žete v??it..." 
CZ,Czech Republic,8,Pardubice,82995,SPP,Koalice (KDU-CSL + SNK ED + Nestranníci),,2012,Volební program na období 2012-2016. Rozhodn?te o svém kraji
CZ,Czech Republic,8,Pardubice,82603,TOP,Tradice, Odpovednost, Prosperita 09,Tradition, Responsibility, Prosperity 09,2012,Program k volbám do Krajského zastupitelstva 2012 [Program für die Wahlen zur regionalen Vertretung 2012]
