country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,9,Plzen,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2004,Krajský volební program ?SSD (Regionalwahlprogramm der CSSD)
CZ,Czech Republic,9,Plzen,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Krajský volební program ?SSD Plze?ského Kraje (Regionalwahlprogramm der ?SSD für die Region Pilsen)
CZ,Czech Republic,9,Plzen,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Volební program ?SSD v Plze?ském kraji [Wahlprogramm der CSSD in der Region Pilsen]
CZ,Czech Republic,9,Plzen,82220,KSCM,Kommunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2008,Priority KS?M pro Plze?ský kraj v letech 2008-2012 (Prioritäten der KS?M für die Region Pilsen für die Jahre 2008-2012) 
CZ,Czech Republic,9,Plzen,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Priority volebního programu KS?M do Plze?ského kraje na léta 2012 – 2016 [Prioritäten des Wahlprogramms der KSCM in der Region Pilsen für den Zeitraum 2012-2016]
CZ,Czech Republic,9,Plzen,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,Plze?ský Kraj (Region Pilsen) 
CZ,Czech Republic,9,Plzen,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Krajské volby 2008 - volební program (Regionalwahlen 2008 - Wahlprogramm)
CZ,Czech Republic,9,Plzen,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební program pro krajské volby 2012 v Plze?ském kraji [Wahlrpgoramm für die Regionalwahlen 2012 in der Region Pilsen]
CZ,Czech Republic,9,Plzen,82995,SPP,Koalice (KDU-CSL + SNK ED + Nestranníci),,2008,Teze volebního programu pro volby do Zastupitelstva Plze?ského kraje 2008
CZ,Czech Republic,9,Plzen,82995,SPP,Koalice (KDU-CSL + SNK ED + Nestranníci),,2012,TEZE VOLEBNÍHO PROGRAMU pro volby do Zastupitelstva Plze?ského kraje 2012 
CZ,Czech Republic,9,Plzen,82603,TOP,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,Volební program TOP 09 a Starostovépro Plze?ský krajkrajské volby 2012 [Wahlprogramm von TOP 09 und den Bürgermeistern für die Pilsner Regionalwahlen 2012]
