country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,1,,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Naše Jiho?eské Desatero (Unser Südböhmischer Dekalog)
CZ,Czech Republic,1,,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Volební program jiho?eské ?SSD pro krajské volby 2012 [Wahlprogramm der Südböhmischen CSSD für die Regionalwahlen 2012]
CZ,Czech Republic,1,,82904,Ji,Jiho?eský Kraj (Südböhmische Region),,2012,Program pro celé Jižní ?echy
CZ,Czech Republic,1,,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2004,Teze volebního programu KDU-CSL v Jiho?eském kraji
CZ,Czech Republic,1,,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2008,Budeme vám dále pomáhat (Wir werden Ihnen weiterhin helfen)
CZ,Czech Republic,1,,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2012,Slušný program pro slušné lidi [Anständiges Programm für anständige Menschen]
CZ,Czech Republic,1,,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,S KS?M ZM??TE BUDOUCNOST JIHO?ESKÉHO KRAJE [Mit der KSCM verändern sie die Zukunft der Südböhmischen Region)
CZ,Czech Republic,1,,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,Volební program ODS - Wahlprogramm ODS
CZ,Czech Republic,1,,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Jiho?eský Kraj (Südböhmische Region)
CZ,Czech Republic,1,,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Plné zn?ní volebního programu pro krajské volby 2012 [Vollständiges Wahlrogramm für die Regionalwahlen 2012]
CZ,Czech Republic,1,,82603,TOP,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility,Prosperity 09",2012,"Volební program - Odpov?dnost, efektivita, slušnost [Wahlprogramm - Verantwortlichkeit, Effektivität, Anständigkeit]"
