country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,12,Usti nad Labem,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Ústecký Kraj (Region Ústí)
CZ,Czech Republic,12,Usti nad Labem,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Ustecký kraj - náš domov [Region Ústí - unsere Heimat]
CZ,Czech Republic,12,Usti nad Labem,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2012,Program
CZ,Czech Republic,12,Usti nad Labem,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2004,Ústecký Kraj (Region Ústí)
CZ,Czech Republic,12,Usti nad Labem,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Volební program pro Ústecký kraj Komunistické strany ?ech a Moravy 2012 – 2016 [Wahlprogramm der KSCM für die Region Ústí 2012]
CZ,Czech Republic,12,Usti nad Labem,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,SLUŠNOST A ODPOV?DNOST - CESTA K ÚSP?CHU (Fairness und Verantwortungsbewusstsein - Weg zum Erfolg)
CZ,Czech Republic,12,Usti nad Labem,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Volební program ODS pro volby do Krajského zastupitelstva Ústeckého kraje 2008 (Wahlprogramm der ODS für die Wahlen 2008)
CZ,Czech Republic,12,Usti nad Labem,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební program - Bezpe?í a prosperita pro slušné a pracovité [Wahlprogramm - Sicherheit und Prosperität für Anständige und Fleißige]
CZ,Czech Republic,12,Usti nad Labem,82902,SEV,Severo?eši.cz (+ KDU - ?SL),North Bohemians,2008,Volební program „Š?ASTNÁ SEDMI?KA PRO ÚSTECKÝ KRAJ“ (Wahlprogramm Glückliche sieben für die Region Ústí)
CZ,Czech Republic,12,Usti nad Labem,82902,SEV,Severo?eši.cz (+ KDU - ?SL),North Bohemians,2012,Volební program - Š?astná sedmi?ka pro Ústecký kraj [Wahlprogramm - die glückliche Sieben für die Region Ústí]
CZ,Czech Republic,12,Usti nad Labem,82603,TOP,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,Volební Program. Volby 2012 do Zastupielstva Ústeckého kraje [Wahlprogramm. Wahlen 2012 zur Regionalvertretung der Region Ústí]
