country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
CZ,Czech Republic,13,Vysocina,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2008,Volební program ?SSD do zastupitelstva kraje Vyso?ina (Wahlprogramm der ?SSD für die Regionalvertretung in Vyso?ina)
CZ,Czech Republic,13,Vysocina,82320,CSSD,?eská strana sociáln? demokratická,Czech Social Democratic Party,2012,Volby na Vyso?in?. ?SSD - solidarita a d?stojný život ob?an? kraje [Wahlen in der Region Vyso?ina. CSSD - Solidarität und anständiges Leben für Bürger der Region]
CZ,Czech Republic,13,Vysocina,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2008,Volební program (Wahlprogramm)
CZ,Czech Republic,13,Vysocina,82523,KDU,K?es?anská a demokratická unie - ?eskoslovenská strana lidová,Christian Democratic Union - Czechoslovak People’sParty,2012,Volební program KDU-CSL Vyso?ina na léta 2012 - 2016 [Wahlprogramm der KDU-CSL Vyso?ina für die Jahre 2012-2016]
CZ,Czech Republic,13,Vysocina,82220,KSCM,Komunistická strana ?ech a Moravy,Communist Party of Bohemia and Moravia,2004,Vyso?ina (Region Vyso?ina)
CZ,Czech Republic,13,Vysocina,82220,KSCM,Komunistická strana Bohemie a Moravy,Communist Party of Bohemia and Moravia,2012,Volební program KS?M pro volby do Zastupitelstva Kraje Vyso?ina v roce 2012 [Wahlprogramm der KSCM für die Wahlen zur Regionalvertretung der Region Vyso?ina im Jahr 2012]
CZ,Czech Republic,13,Vysocina,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2004,Náš program (Unser Programm)
CZ,Czech Republic,13,Vysocina,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2008,Program ODS, Krajské volby 2008 (Wahlprogramm ODS, Regionalwahlen 2008)
CZ,Czech Republic,13,Vysocina,82413,ODS,Ob?anská demokratická strana,Civic Democratic Party,2012,Volební program 2012 [Wahlprogramm 2012]
CZ,Czech Republic,13,Vysocina,82601,SNK,Sdružení nezávislích kandidát? - Evropská Demokracie,Association of Independent Candidates - European Democracy,2012,Kraj Vyso?ina - Náš program [Region Vyso?ina - Unser Programm]
CZ,Czech Republic,13,Vysocina,82603,TOP,"Tradice, Odpovednost, Prosperita 09","Tradition, Responsibility, Prosperity 09",2012,Transparentní program pro volby do krajského zastupitelstva 2012 v Kraji Vyso?ina [Transparenten Programm für die Wahlen zur Regionalvertretung 2012 in der Region Vyso?ina]
