country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,3,Baden-Württemberg,41953,AfD,Alternative für Deutschland,Alternative for Germany,2016,Für unser Land - für unsere Werte
DE,Deutschland,3,Baden-Württemberg,41601,ALFA,Allianz für Fortschritt und Aufbruch,Alliance for Progress and Renewal,2016,Grundlagen-Landtagswahlprogramm Baden-Württemberg 2016
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1976,BW Kurier. CDU-Zeitung für Baden-Württemberg
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1980,CDU Aus LIebe zum Land CDU 14. Landesparteitag Heidelberg 19.1.1980 Wahlplattform Landtagswahl 1980
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1980,Aus Liebe zum Land
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1984,Wahlplattform Landtagswahl 1984
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1984,Kraftvoll in die Zukunft
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1988,CDU aktiv für Baden-Württemberg
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1988,Unser Land in guter Hand
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1992,Wahlplattform Landtagswahl ´92
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1996,Aufbruch in die Zukunft. CDU. Regierungsprogramm 1996-2001: Für ein modernes und menschliches Baden-Württemberg.
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2001,Erfolgskurs Süd. Regierungsprogramm 2001-2006
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2006,In der Tat besser. Regierungsprogramm der CDU Baden-Württemberg 2006 – 2011
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Der Baden-Württemberg-Weg im neuen Jahrzehnt
DE,Deutschland,3,Baden-Württemberg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2016,Gemeinsam schaffen wir die beste Zukunft für unsere Heimat
DE,Deutschland,3,Baden-Württemberg,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,1992,"Vereinbarung zwischen der CDU, Landesverband Baden-Württemberg und der SPD, Landesverband Baden-Württemberg über die Bildung einer Koalitionsregierung für die 11. Legislaturperiode des Landtags von Baden-Württemberg"
DE,Deutschland,3,Baden-Württemberg,41001,COAL,Koalition:CDU/FDP,Coalition:CDU/FDP,1996,"Vereinbarung zwischen der CDU, Landesverband Baden-Württemberg, und der FDP/Demokratische Volkspartei, Landesverband Baden-Württemberg, über die Bildung einer Koalitionsregierung für die 12. Legislaturperiode des Landtags von Baden-Württem"
DE,Deutschland,3,Baden-Württemberg,41001,COAL,Koalition:CDU/FDP,Coalition:CDU/FDP,2001;"Vereinbarung zwischen der CDU, Landesverband Baden-Württemberg und der FDP/ Demokratische Volkspartei, Landesverband Baden-Württemberg über die Bildung einer Regierungskoalition für die 13. Legislaturperiode des Landtags von Baden-Württemb"
