country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1978,Aktionsprogramm zur Landtagswahl 1978
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1982,Programm der CSU für die Landtagswahl '82
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1982,Kraftvoll in die Zukunft
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1986,Franz Josef Strauß für Bayern
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1990,Programm zur Landtagswahl 1990. Deutschland kommt. Bayern bleibt stark. Mit uns. CSU
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1994,Programm für Bayern
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,1998,Das Programm für Bayerns Zukunft
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,2003,Regierungsprogramm 2003 – 2008: Damit Bayern stark bleibt. CSU.
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,2008,Für ein starkes Bayern. Regierungsprogramm 2008 bis 2013
DE,Deutschland,4,Bayern,41523,CSU,Christlich-Soziale Union in Bayern,Christian Social Union of Bavaria,2013,Der Bayernplan
DE,Deutschland,4,Bayern,41223,LINKE,Die Linke,The left,2008,Bayern für alle. Wahlprogramm für bayerische Landtagswahl 2008
DE,Deutschland,4,Bayern,41223,LINKE,Die Linke,The left,2013,Bayern - sozial und solidarisch
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1978,Landeswahlprogramm '78
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1986,Warum Bayerns Landtag die F.D.P. braucht
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1990,Auf dem Weg in den Landtag
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1994,Bayern braucht den Wandel. Landtagswahl ´94
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1998,Wir machen Zukunft. Liberales Programm zur bayerischen Landtagswahl 1998
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2003,gelb mobilisiert – Liberales Programm zur bayerischen Landtagswahl 2003. Die politischen Schwerpunkte der Bayerischen FDP
DE,Deutschland,4,Bayern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2008,Liberales Programm zur Landtagswahl 2008
