country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,2,Berlin,41953,AfD,Alternative für Deutschland,Alternative for Germany,2016,Wahlprogramm
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1975,Mehr Tatkraft schafft mehr Sicherheit
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1979,Berlin muß gewinnen
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1981,"Gib Wir einen Ruck, Berlin"
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1985,Stolz auf Berlin – Mut zur Zukunft
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1989,Jede Menge Zukunft
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,Programm der Berliner CDU für die Wahlen am 2. Dezember 1990. Jetzt geht's ums Ganze
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1995,Zukunft Berlin – Politik für unsere Stadt Entscheidung ´95
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1999,Wahlplattform 1999 Das neue Berlin – Zukunft für alle
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2001,"Volles Programm für Wirtschaft, Jobs und Sicherheit"
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2006,Wahlprogramm zu den Berlin-Wahlen am 17. September 2006
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Das muss sich ändern. Die 100 wichtigsten Probleme Berlins und ihre Lösung
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,100 Lösungen damit sich was ändert für Berlin
DE,Deutschland,2,Berlin,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2016,Starkes Berlin
DE,Deutschland,2,Berlin,41001,COAL,Koalition:CDU/FDP,Coalition:CDU/FDP,1985,Koalitionsvereinbarung zwischen der Christlich Demokratischen Union (CDU) Landesverband Berlin und der Freien Demokratischen Partei (F.D.P.) Landesverband Berlin
DE,Deutschland,2,Berlin,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,1990,Koalitionsvereinbarung zwischen der Christlich Demokratischen Union Deutschlands (CDU) Landesverband Berlin und der Sozialdemokratischen Partei Deutschlands (SPD) Landesverband Berlin 1991
DE,Deutschland,2,Berlin,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,1995,Koalitionsvereinbarung zwischen der Christlich Demokratischen Union Deutschlands (CDU) Landesverband Berlin und der Sozialdemokratischen Partei Deutschlands (SPD) Landesverband Berlin
DE,Deutschland,2,Berlin,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,1999,Koalitionsvereinbarung zwischen der CDU Landesverband Berlin und der SPD Landesverband Berlin für die Legislaturperiode 1999-2004
DE,Deutschland,2,Berlin,41001,COAL,Koalition:SPD/PDS,Coalition:SPD/PDS,2001,Koalitionsvereinbarung zwischen der SPD Landesverband Berlin und der PDS Landesverband Berlin für die Legislaturperiode 2001 - 2006
DE,Deutschland,2,Berlin,41001,COAL,Koalition:SPD/PDS,Coalition:SPD/PDS,2006,Konsequent Berlin.
DE,Deutschland,2,Berlin,41001,COAL,Koalition:SPD/Die Linke/Grüne,Coalition:SPD/Die Linke/Grüne,2016,Berlin gemeinsam gestalten. Solidarisch. Nachhaltig. Weltoffen.
DE,Deutschland,2,Berlin,41223,LINKE,Die Linke,The left,2011,Das soziale Berlin
DE,Deutschland,2,Berlin,41223,LINKE,Die Linke,The left,2016,Unser Plan für ein soziales und ökologisches Berlin
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1975,Argumente
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1979,Die F.D.P. Fraktion informiert
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1981,Die Politik der Liberalen
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1985,Politik mit Köpfchen. Für Berlin. Für uns alle.
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1990,Berliner Programm zur Wahl am 2. Dezember 1990
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1995,Vision für Berlin. Wahlprogramm der F.D.P.-Berlin für die Abgeordnetenhauswahl am 22.10.1995
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1999,Unser Programm für die Abgeordnetenhauswahl Berlin ´99 – „Sie sind am Ball.“
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2001,18 Punkte für Berlin.
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2006,Berlin kann nicht warten. Programm der Berliner FDP zur Abgeordnetenhauswahl 2006
DE,Deutschland,2,Berlin,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2011,Freiheit kann man wählen
