country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,1,Brandenburg,41953,AfD,Alternative für Deutschland,Alternative for Germany,2014,Mut zu Brandenburg - Bodenständig und frei leben
DE,Deutschland,1,Brandenburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1994,Programm der CDU Brandenburg
DE,Deutschland,1,Brandenburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1999,Wahlprogramm der CDU Brandenburg. Chancen nutzen: Zukunftsoffensiven für Brandenburg!
DE,Deutschland,1,Brandenburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2004,Brandenburg kann mehr
DE,Deutschland,1,Brandenburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2009,Wahlprogramm der CDU Brandenburg zur Landtagswahl am 27. September 2009. Klarer Kurs für Brandenburg
DE,Deutschland,1,Brandenburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2014,Brandenburg. Besser. Machen.
DE,Deutschland,1,Brandenburg,41001,COAL,Koalition:SPD/FDP/Bündnis 90/Die Grüne,Coalition:SPD/FDP/Alliance'90/Die Grüne,1990,Vertrag zur Bildung der Landesregierung Brandenburg in der ersten Legislaturperiode des Landtages 1990 - 1994
DE,Deutschland,1,Brandenburg,41001,COAL,Koalition:SPD/CDU,Coalition:SPD/CDU,1999,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 3. Wahlperiode des Brandenburger Landtages 1999 bis 2004
DE,Deutschland,1,Brandenburg,41001,COAL,Koalition:SPD/CDU,Coalition:SPD/CDU,2004,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 4. Wahlperiode des Brandenburger Landtages 2004 bis 2009
DE,Deutschland,1,Brandenburg,41001,COAL,Koalition:SPD/Die Linke,Coalition:SPD/Die Linke,2009,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 5. Wahlperiode des Brandenburger Landtages
DE,Deutschland,1,Brandenburg,41001,COAL,Koalition:SPD/Die Linke,Coalition: SPD/Die Linke,2014,"Sicher, selbstbewusst und solidarisch: Brandenburgs Aufbruch vollenden"
DE,Deutschland,1,Brandenburg,41223,LINKE,Die Linke,The left,2009,Konsequent sozial. Krise bewältigen – Armut bekämpfen – Demokratie stärken – Zukunft gewinnen: Es ist an der Zeit. Für Brandenburg. Landeswahlprogramm 2009
DE,Deutschland,1,Brandenburg,41223,LINKE,Die Linke,The left,2014,Soziales Brandenburg. Das ist Die Linke.
DE,Deutschland,1,Brandenburg,41703,DVU,Deutsche Volksunion,The Germans People Union,2004,DVU-Wahlprogramm Brandenburg 2004
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1990,Das liberale Brandenburg. Programm der F.D.P. zu den Landtagswahlen am 14. Oktober 1990.
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1994,Programm der Vernunft des Landesverbandes Brandenburg der F.D.P. Die Liberalen
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1999,Programm des F.D.P.- Landesverbandes Brandenburg. „Für die F.D.P. zu stimmen bedeutet, der Liberalität Stimme zu verleihen.“
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2004,Neue Kraft für Brandenburg. Damit sich etwas ändert! Landtagswahlprogramm 2004
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2009,Brandenburg 2009– 2014 – Ein Wahlprogramm
DE,Deutschland,1,Brandenburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2014,Echt Brandenburg
DE,Deutschland,1,Brandenburg,41440,FWG,Freie Wählergemeinschaft,Free Voters,2014,Wahlprogramm Freie Wähler / Brandenburger Vereinigte Bürgerbewegungen für die Landtagswahl 2014
DE,Deutschland,1,Brandenburg,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,1994,Für ein ökologisches, demokratisches und solidarisches Brandenburg
DE,Deutschland,1,Brandenburg,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,1999,Brandenburg ökologisch, sozial und tolerant gestalten – Programm für den 3. Brandenburgischen Landtag 1999 – 2004
