country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,5,Bremen,41953,AfD,Alternative für Deutschland,Alternative for Germany,2015,Wahlprogramm 2015
DE,Deutschland,5,Bremen,41705,BIW,Bürger in Wut,Citizens in Rage,2007,BIW-Programm für Bremerhaven. Bremerhaven zuerst!
DE,Deutschland,5,Bremen,41705,BIW,Bürger in Wut,Citizens in Rage,2011,Programm der BÜRGER IN WUT (BIW)
DE,Deutschland,5,Bremen,41705,BIW,Bürger in Wut,Citizens in Rage,2015,Programm der BÜRGER IN WUT (BIW)
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1975,Programm für das Land Bremen
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1979,Mit uns für eine sichere Zukunft
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1983,Bremens Zukunft meistern...mit einer starken CDU
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1987,No title
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1991,Ein politischer Kurswechsel für unser Bundesland. Grundsatzprogramm der CDU für das Land Bremen
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1995,Regierungs-Programm für das Land Bremen
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1999,Regierungsprogramm der CDU-Bremen zur Bürgerschaftswahl 1999 – Mehr CDU tut Bremen gut
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2003,Regierungsprogramm der CDU-Bremen zur Bürgerschaftswahl 2003
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2007,Regierungsprogramm der CDU-Bremen für 17. Legislaturperiode der Bremischen Bürgerschaft
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Jetzt das Richtige tun!
DE,Deutschland,5,Bremen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2015,Neues Vertrauen in Bremen
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,1991,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 13: Wahlperiode der Bremischen Bürgerschaft 1991 - 1995
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/CDU,Coalition:SPD/CDU,1995,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 14. Wahlperiode der Bremischen Bürgerschaft 1995-1999
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/CDU,Coalition:SPD/CDU,1999,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 15. Wahlperiode der Bremischen Bürgerschaft 1999 - 2003
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/CDU,Coalition:SPD/CDU,2003,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 16. Wahlperiode der Bremischen Bürgerschaft 2003 - 2007
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2007,Koalitionsvereinbarung
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2011,Vereinbarung zur Zusammenarbeit in einer Regierungskoalition für die 18. Wahlperiode der Bremischen Bürgerschaft 2011 – 2015
DE,Deutschland,5,Bremen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2015,Bremen 2030 - Land mit Zukunft
DE,Deutschland,5,Bremen,41223,LINKE,Die Linke,The left,2011,Wie sonst?
DE,Deutschland,5,Bremen,41223,LINKE,Die Linke,The left,2015,"Sozial, das muss drin sein."
DE,Deutschland,5,Bremen,41703,DVU,Deutsche Volksunion,The Germans People Union,2003,Partei-Programm
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1975,Bremen und die FDP. Zwei Liberale.
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1979,Das liberale Programm der Bremer F.D.P. 1979-1983
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1987,Mit Mut in die Zukunft
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1991,Programm zur Bürgerschaftswahl 1991. Die bremische Alternative
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1995,Wie viel F.D.P. braucht Bremen?
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1999,Programm mit Biß
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2003,Mutig handeln statt schönreden. Liberale Leitsätze für eine neue Politik
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2007,Arbeit. Bildung. Sicherheit. Wahlprogramm der FDP-Bremen zur Bürgerschaftswahl 2007
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2011,Bürgerprogramm 2011 Wahlprogramm des FDP-Landesverbandes Bremen zur Bürgerschaftswahl 2011
DE,Deutschland,5,Bremen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2015,Für Bremen und Bremerhaven
DE,Deutschland,5,Bremen,41111,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,1979,Wählerinitiative Bremen/Bremerhaven. Programmentwurf Februar 1979
DE,Deutschland,5,Bremen,41111,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,1983,Programm zur Bürgerschaftswahl 1983
DE,Deutschland,5,Bremen,41111,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,1987,Programm Bürgerschaftswahl '87 
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,1995,Programm für Bremen und Bremerhaven – „Bremen wählt grün – was sonst.“
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,1999,Bremen und Bremerhaven: Grün ins nächste Jahrtausend!
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,2003,Bremen braucht eine neue Koalition. Unser Wahlprogramm 2003 – 2007
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,2007,Bremens Alternative. Wahlprogramm Bremen 2007.
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,2011,Wir bleiben dran
DE,Deutschland,5,Bremen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90/Die Grünen,2015,Unsere Ideen für Bremen!
DE,Deutschland,5,Bremen,41441,NLI,Neue Liberale,New Liberal,2015,Wahlprogramm 2015
DE,Deutschland,5,Bremen,41950,Pirate,Piratenpartei Deutschland,Pirate Party Germany,2015,Wahlprogramm zur Bürgerschaftswahl 2015
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1975,Den Vorsprung sichern  
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1979,Für die Menschen in unserem Land
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1983,Bremen-Plan 83-87
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1983,Bremen-Plan 1984-1987
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1987,Plan 87
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1991,Gemeinsam für Bremen. Das SPD-Wahlprogramm zur Bürgerschaftswahl
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1995,Bremen Plan der SPD für die Jahre 1995 – 1999. Für Bremen & Bremerhaven Klare Verhältnisse
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1999,"Bremen und Bremerhaven: lebendig, solidarisch und weltoffen. Programm zur Bürgerschaftswahl am 6. Juni 1999"
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2003,Bremen-/Bremerhaven-Plan 2003 – 2007. Programm zur Bürgerschaftswahl am 25. Mai 2003
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2007,Gemeinsam Zukunft gestalten. Regierungsprogramm 2007 – 2011
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2011,Miteinander! Vielfalt und Zusammenhalt gemeinsam gestalten.
DE,Deutschland,5,Bremen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2015,"Leben, arbeiten, lernen, wohnen … in Bremen und Bremerhaven"
