country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,7,Hamburg,41953,AfD,Alternative für Deutschland,Alternative for Germany,2015,Wahlprogramm Bürgerschaftswahl 2015
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1978,In Sicherheit leben.
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1982,Wahlprogramm der CDU - Hamburg für die Bürgerschaftswahl am 19. Dezember 1982
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1986,Hamburg braucht den Wechsel
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1987,Hamburg nach vorn. Der Wechsel ist überfällig
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1991,Das Hamburg-Programm der CDU
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1993,Wahlprogramm der Hamburger CDU zur Bürgerschaftswahl 1993
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1997,Christlich Demokratisch Union Regierungsprogramm zur Bürgerschaftswahl 1997
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2001,Regierungsprogramm zur Bürgerschaftswahl 2001
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2004,Wahlplattform der CDU Hamburg für die Bürgermeisterwahl 2004
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2008,In guten Händen. Grundlagen für Hamburgs Erfolg. Das Regierungsprogramm der Hamburger CDU 2008 – 2012.
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Wahlprogramm 2011
DE,Deutschland,7,Hamburg,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2015,HAMBURG kann mehr. Die wachsende Stadt gestalten – Chancen für alle in einer lebenswerten Stadt.
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:SPD/FDP,Coalition:SPD/FDP,1987,Koalitionsvereinbarung vom 1. September 1987
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:SPD/STATT,Coalition:SPD/STAAT,1993,Kooperationsvereinbarung über eine Zusammenarbeit für die 15. Legislaturperiode der Hamburgischen Bürgerschaft (1993 - 1997)
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,1997,Grundlagenvereinbarung über eine Koalition zwischen SPD und GAL in Hamburg für die Legislaturperiode 1997-2001
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:CDU/PRO/FDP,Coalition:CDU/PRO/FDP,2001,Koalitionsvereinbarung
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:CDU,Coalition:CDU,2004,Hamburg im Aufwind - die Zukunft der Wachsenden Stadt gestalten
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:CDU/GRÜNE,Coalition:CDU/GRÜNE,2008,"Vertrag über die Zusammenarbeit in der 19. Wahlperiode der Hamburgischen Bürgerschaft zwischen der Christlich Demokratischen Union, Landesverband Hamburg und Bündnis 90/Die Grünen, Landesverband Hamburg, GAL"
DE,Deutschland,7,Hamburg,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2015,Zusammen schaffen wir das moderne Hamburg
DE,Deutschland,7,Hamburg,41223,LINKE,Die Linke,The left,2008,Hier ist DIE LINKE. Wahlprogramm Bürgerschaftswahl 2008
DE,Deutschland,7,Hamburg,41223,LINKE,Die Linke,The left,2011,Für ein soziales Hamburg! Wahlprogramm Bürgerschaftswahl 2011
DE,Deutschland,7,Hamburg,41223,LINKE,Die Linke,The left,2015,Für eine Politikwende – Hamburg für die Menschen und nicht für den Profit
DE,Deutschland,7,Hamburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1986,Wahlaussage zur Hamburger Bürgerschaftswahl am 9. November 1986
DE,Deutschland,7,Hamburg,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1987,Wahlaussage zur Hamburger Bürgerschaftswahl am 17. Mai 1987
