country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,8,Mecklenburg-Vorpommern,41953,AfD,Alternative für Deutschland,Alternative for Germany,2016,AfD - Deine Stimme!
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,Programm Landesverband Mecklenburg und Vorpommern
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1994,Damit es weiter aufwärts geht. Wahlprogramm der CDU Mecklenburg-Vorpommern 1994
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1998,Den Blick nach vorn. Gemeinsam die Zukunft meistern. Das CDU Wahlprogramm für Mecklenburg-Vorpommern.
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2002,Ein neuer Wille fürs Land. Wahlprogramm der CDU MV
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2006,„Gemeinsam mehr erreichen“ – Wahlprogramm der Christlich Demokratischen Union Mecklenburg-Vorpommern
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2011,Klar und entschlossen
DE,Deutschland,8,Mecklenburg-Vorpommern,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2016,„Heimat im Mittelpunkt“
DE,Deutschland,8,Mecklenburg-Vorpommern,41001,COAL,Koalition: SPD/CDU,Coalition: SPD/CDU,2016,"Weiter für ein starkes Mecklenburg-Vorpommern - Zusammenhalt bewahren, Gemeinschaft stärken"
DE,Deutschland,8,Mecklenburg-Vorpommern,41223,LINKE,Die Linke,The left,2016,Programm zur Landtagswahl 2016
DE,Deutschland,8,Mecklenburg-Vorpommern,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2016,Wahlprogramm
DE,Deutschland,8,Mecklenburg-Vorpommern,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90 / Die Grünen,2016,Für Land und Leute. Neue Perspektiven für Mensch, Wirtschaft und Natur.
DE,Deutschland,8,Mecklenburg-Vorpommern,41702,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,2006,Aktionsprogramm zur Landtagswahl 2006
DE,Deutschland,8,Mecklenburg-Vorpommern,41702,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,2016,Das Aktionsprogramm für Mecklenburg und Pommern
DE,Deutschland,8,Mecklenburg-Vorpommern,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2016,Gemeinsam auf Kurs. Regierungsprogramm für ein modernes und sozial gerechtes Mecklenburg-Vorpommern
