country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1978,Albrecht-Politik: Das Programm für uns in Niedersachsen
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1982,Der Mensch - Ziel und Mittelpunkt unserer Politik. Albrecht-Politik gibt Niedersachsen festen Halt
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1982,Unsere Familien sollen es besser haben in Niedersachsen.
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1986,Landtagswahlprogramm der Niedersachsen-CDU für die Wahl zum Niedersächsischen Landtag am 15. Juni 1986
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,Wahlprogramm ´90
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1994,Das Regierungs-Programm
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1998,Damit Niedersachsen gewinnt. Regierungsprogramm 1998 bis 2003 der CDU in Niedersachsen
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2003,Niedersachsen kann mehr. Fortschritt und Geborgenheit. – Regierungsprogramm der CDU in Niedersachsen für die Landtagswahlperiode 2003 – 2008
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2008,Zukunftsland Niedersachsen. Regierungsprogramm 2008 – 2013 der CDU in Niedersachsen
DE,Deutschland,9,Niedersachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2013,So machen wir das. Für Niedersachsen.
DE,Deutschland,9,Niedersachsen,41001,COAL,Koalition: SPD/GRÜNE,Coalition: SPD/GRÜNE,2013,Erneuerung und Zusammenhalt. Nachhaltige Politik für Niedersachsen
DE,Deutschland,9,Niedersachsen,41223,LINKE,Die Linke,The left,2013,DARUM! SOZIALE GERECHTIGKEIT FÜR NIEDERSACHSEN
DE,Deutschland,9,Niedersachsen,41420,FDP,Freie Demokratische Partei ,Free Democratic Party,1982,Unser Land braucht frische Politik
DE,Deutschland,9,Niedersachsen,41420,FDP,Freie Demokratische Partei ,Free Democratic Party,2013,Jede Seite zählt!
DE,Deutschland,9,Niedersachsen,41111,GRÜNE,Bündnis90/Die Grünen,Alliance '90 / Die Grünen,1982,Unser Wahlprogramm
DE,Deutschland,9,Niedersachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance '90 / Die Grünen,2013,Mach's möglich.
DE,Deutschland,9,Niedersachsen,41950,Pirat,Piratenpartei Deutschland,Pirate Party Germany,2013,Landtagswahl 2013 Wahlprogramm
DE,Deutschland,9,Niedersachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1978,Wahlprogramm 1978
DE,Deutschland,9,Niedersachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1982,Gemeinsam arbeiten. In Frieden leben.
DE,Deutschland,9,Niedersachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2013,Anpacken. Besser machen.
