country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,10,Nordrhein-Westfalen,41953,AfD,Alternative für Deutschland,Alternative for Germany,2017,Wahlprogramm 2017
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1975,Wir schaffen wieder Sicherheit
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1980,Die Union für Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1980,Programm für Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1985,Aufschwung für NRW
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,Wahlplattform der CDU Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1995,Modell Zukunft. Nordrhein-Westfalen mit der CDU auf dem Weg ins 3. Jahrtausend
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2000,Ein Vertrag für NRW. Zukunftsprogramm für die Landtagswahl am 14. Mai 2000
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2005,Zukunftsprogramm der CDU Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2010,Neue Sicherheit und Solidarität – Nordrhein-Westfalen 2020
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2012,Verantwortung. Kompetenz. Nachhaltigkeit.
DE,Deutschland,10,Nordrhein-Westfalen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2017,Zuhören. Entscheiden. Handeln. 
DE,Deutschland,10,Nordrhein-Westfalen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,1995,NRW 1995 bis 2000. Koalitionsvereinbarung NRW SPD Bündnis 90/Die Grünen NRW
DE,Deutschland,10,Nordrhein-Westfalen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2000,2000 - 2005. Eine Allianz für Nordrhein-Westfalen Koalitionsvertrag
DE,Deutschland,10,Nordrhein-Westfalen,41001,COAL,Koalition:CDU/FDP,Coalition:CDU/FDP,2005,Koalitionsvereinbarung von CDU und FDP zur Bildung einer neuen Landesregierung in Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2010,Zusammen für NRW.
DE,Deutschland,10,Nordrhein-Westfalen,41001,COAL,Koalition:SPD/GRÜNE,Coalition:SPD/GRÜNE,2012,Verantwortung für ein starkes NRW - Miteinander die Zukunft gestalten
DE,Deutschland,10,Nordrhein-Westfalen,41223,LINKE,Die Linke,The left,2010,Original sozial – konsequent solidarisch. Das Landeswahlprogramm 2010
DE,Deutschland,10,Nordrhein-Westfalen,41223,LINKE,Die Linke,The left,2012,Original sozial – konsequent solidarisch
DE,Deutschland,10,Nordrhein-Westfalen,41223,LINKE,Die Linke,The left,2017,"Für eine Politik, in der die Menschen zählen."
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1975,Liberale Politik für Nordrhein-Westfalen
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1980,Mut zur Freiheit - Mut zur Verantwortung
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1985,Landespolitisches Programm der Freien Demokratischen Partei
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1990,Liberale Politik für Nordrhein-Westfalen. Programm zur Landtagswahl 1990
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1995,Die liberale Vision. Programm der F.D.P NRW für die Landtagswahl ´95
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2000,Wahlprogramm zur Landtagswahl in NRW am 14. Mai 2000
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2005,Das neue NRW. Wahlprogramm zur Landtagswahl in Nordrhein-Westfalen am 22. Mai 2005
DE,Deutschland,10,Nordrhein-Westfalen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2010,Aufsteigerland NRW. Das Programm zur nordrhein-westfälischen Landtagswahl 2010
