country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
DE,Deutschland,14,Sachsen,41953,AfD,Alternative für Deutschland,Alternative for Germany,2014,Wahlprogramm 2014
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1990,Wahlplattform der CDU Sachsen
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1994,Wie soll Sachsen im Jahr 2000 aussehen? Grundsätze und Programm der Sächsischen Union
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,1999,Arbeitsprogramm 2004 der Sächsischen Union für die Landtagswahl 1999
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2004,Gemeinsam für Sachsen! Für eine bürgernahe und zukunftsorientierte Politik: CDU. Programm der Sächsischen Union zur Landtagswahl 2004 vom 28. August 2004
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2009,"Vertrag für Sachsen. Wissen, wo's lang geht. Regierungsprogramm 2009 – 2014 der Sächsischen CDU"
DE,Deutschland,14,Sachsen,41521,CDU,Christlich Demokratische Union,Christian Democratic Union,2014,Mit Mut. Mit Weitsicht. Miteinander. 
DE,Deutschland,14,Sachsen,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,2004,"Vereinbarung zwischen der CDU, Landesverband Sachsen und der SPD, Landesverband Sachsen über die Bildung der Staatsregierung für die 4. Legislaturperiode des Sächsischen Landtages"
DE,Deutschland,14,Sachsen,41001,COAL,Koalition:CDU/FDP,Coalition:CDU/FDP,2009,No title
DE,Deutschland,14,Sachsen,41001,COAL,Koalition:CDU/SPD,Coalition:CDU/SPD,2014,Sachsens Zukunft gestalten
DE,Deutschland,14,Sachsen,41223,LINKE,Die Linke,The left,2009,Der eigenen Kraft vertrauen. Für Sachsen. Das Landeswahlprogramm 2009
DE,Deutschland,14,Sachsen,41223,LINKE,Die Linke,The left,2014,Besser leben in Sachsen
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1990,Landeswahlprogramm 1990. Das liberale Sachsen
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1994,Wahlprogramm. Sachsen braucht Freie Demokraten.
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,1999,Programm 1999 der F.D.P. in Sachsen
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2004,Wir gestalten Sachsen. Zukunftsprogramm der sächsischen FDP
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2009,Für ein starkes und freiheitliches Sachsen. Landtagswahlprogramm der FDP Sachsen 2009
DE,Deutschland,14,Sachsen,41420,FDP,Freie Demokratische Partei,Free Democratic Party,2014,"Sachsenprogramm 2020"
DE,Deutschland,14,Sachsen,41440,FWG,Freie Wählergemeinschaft,Free Voters,2014,Die Zukunft wählen fur unsere Kinder und Enkel. Neuer Schwung für Sachsen
DE,Deutschland,14,Sachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,1990,Gemeinsames Programm der Listenverbindung neues Forum, Bündnis, Grüne zur Landtagswahl 1990 in Sachsen
DE,Deutschland,14,Sachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,1999,Der lila Faden
DE,Deutschland,14,Sachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,2004,Programm zur Landtagswahl 2004
DE,Deutschland,14,Sachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,2009,Programm zur Landtagswahl 2009. Wenn Du was ändern willst.
DE,Deutschland,14,Sachsen,41113,GRÜNE,Bündnis90/Die Grünen,Alliance'90/Die Grünen,2014,Programm zur Landtagswahl 2014. Sachsens Chancen Nutzen
DE,Deutschland,14,Sachsen,41702,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,2004,Nationaldemokraten in den Landtag!
DE,Deutschland,14,Sachsen,41702,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,2009,No title
DE,Deutschland,14,Sachsen,41702,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party of Germany,2014,Heimat im Herzen - Zukunft im Blick
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1990,Uns geht's um Sachsen. SPD Sozialdemokratische Partei Deutschlands. Regierungsprogramm der SPD für die Wahlen zum Sächsischen Landtag
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1994,Wir in Sachsen: Mit eigener Kraft. Programm für eine sozialdemokratische Regierung
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,1999,Görlitzer Programm
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2004,Es geht um Sachsens Zukunft. SPD-Programm für die Landtagswahl 2004
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2009,Regierungsprogramm 2009 – 2014. Gerecht. Innovativ. Solidarisch Anpacken. Zukunft gestalten. Für Sachsen.
DE,Deutschland,14,Sachsen,41320,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,2014,Unser Sachsen für Morgen.
