country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
https://github.com/julianbernauer/polidoc

NL,Netherlands,1,Drenthe,22330,D66,Democraten 66,Democrats 66,2003,D66-Verkiezingsprogramma D66 Drenthe 2003

NL,Netherlands,1,Drenthe,22110,GL,Groen Links,GreenLeft,2007,Beken Kleur! - Verkiezingsprogramma Gronen Links drenthe - statenperiode 2007-2011
NL,Netherlands,1,Drenthe,22220,SP,Socialistische Partij,Socialist Party,2007,NU SP In alle staten! - SP-verkiezingsprogramma voor de Provinviale Statenverkiezingen in Drenthe van 7 maart 2007
NL,Netherlands,1,Drenthe,22320,PvdA,Partij van de Arbeid,Labour Party,2007,Drenthe 2020: de beste plek om te wonen! - Verkiezingsprogramma Provinciale Staten 2007-2001
NL,Netherlands,1,Drenthe,22330,D66,Democraten 66,Democrats 66,2007,Verkiezingsprogramma D66 Drenthe 2007-2011
NL,Netherlands,1,Drenthe,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,Ruimte voor ambitie
NL,Netherlands,1,Drenthe,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,Kansen voor Drenthe - Verkiezingsprograma Provinciale Staten 2007-2011
NL,Netherlands,1,Drenthe,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,Mededogen in alle staten - Verkiezingsprogramma Partij voor de Dieren - Provinciale Staten Drenthe 2007


NL,Netherlands,1,Drenthe,22110,GL,Groen Links,GreenLeft,2011,concept programma GroenLinks Drenthe - dd 16 november 2010
NL,Netherlands,1,Drenthe,22220,SP,Socialistische Partij,Socialist Party,2011,SP. tlicht op Drenthe - Verkiezingsprogramma voor de Provinciale Staten van Drenthe 2011
NL,Netherlands,1,Drenthe,22320,PvdA,Partij van de Arbeid,Labour Party,2011,PvdA Drenthe - Verkiezingsprogramma Provinciale Staten 2011-2015
NL,Netherlands,1,Drenthe,22330,D66,Democraten 66,Democrats 66,2011,Anders Ja D66
NL,Netherlands,1,Drenthe,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Zaken op orde - Verkiezingsprogramma van de VVD Drenthe voor de Provinciale Staten 2011-2015 - Zeker Nu
NL,Netherlands,1,Drenthe,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2011,Verkiezingsprogramma provincie Drenthe 2011-2015
NL,Netherlands,1,Drenthe,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Verkiezingsprogramma 
NL,Netherlands,1,Drenthe,22526,CU,ChristenUnie,Christian Union,2011,Duidelijk Christelijk Drenthe - Uit Overtuiging - Verkiezingsprogramma 2011-2015
NL,Netherlands,1,Drenthe,22601,PVV,Volkspartij voor Vrijheid,People's Party for Freedom and Democraty,2011,Verkiezingsprogramma Drenthe
NL,Netherlands,1,Drenthe,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Drenthe
