country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

NL,Netherlands,2,Flevoland,22110,GL,Groen Links,GreenLeft,2007,GroenLinks Flevoland. programma 2007-2011
NL,Netherlands,2,Flevoland,22220,SP,Socialistische Partij,Socialist Party,2007,SP
NL,Netherlands,2,Flevoland,22320,PvdA,Partij van de Arbeid,Labour Party,2007,"Provinviale Staten verkiezingen 7 maart 2007 - Flevoland werkt, duidelijk sociaal, voor en met u!"
NL,Netherlands,2,Flevoland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2007,Verkiezingsprogramma 2007-2011 - Woord Houden..!
NL,Netherlands,2,Flevoland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,Naar een compleet Flevoland - verkiezingsprogramma 2007-2011
NL,Netherlands,2,Flevoland,22526,CU,ChristenUnie,Christian Union,2007,Voor elkaar in Flevoland - Concept verkiezingsprogram 2007-2011 
NL,Netherlands,2,Flevoland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,Medegogen in alle Staten - Verkiezingsprogramma Partij voor de Dieren - Provinciale Staten van Flevoland 2007

NL,Netherlands,2,Flevoland,22110,GL,Groen Links,GreenLeft,2011,Verkiezingsprogramma GroenLinks Flevoland 2011-2015 - Kies voor de Toekomst Groen Links
NL,Netherlands,2,Flevoland,22220,SP,Socialistische Partij,Socialist Party,2011,"Flevoland de schaal van de toekomst - SP Verkiezingsprogramma 2011-2015 Provinciale Staten van Flevoland"
NL,Netherlands,2,Flevoland,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Het moet eerlijker! Verkiezingsprogramma 2011-2015 Partij van de Arbeid Flevoland
NL,Netherlands,2,Flevoland,22330,D66,Democraten 66,Democrats 66,2011,"Anders ja D66 - Verkiezingsprogramma D66 Flevoland voor de Provinciale Staten 2011-2015"
NL,Netherlands,2,Flevoland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Voortvarend Verder met Flevoland - Verkiezingsprogramma Provinciale Staten Flevoland 2011-2015
NL,Netherlands,2,Flevoland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2011,SGP, goed Idee..! SGP-verkiezingsprogramma provincie Flevoland 2011-2015
NL,Netherlands,2,Flevoland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Verbinding en Perspectief - Verkiezingsprogramma 2011-2015 - Hoe meer CDA hoe beter voor Flevoland
NL,Netherlands,2,Flevoland,22526,CU,ChristenUnie,Christian Union,2011,Standpunten ChristenUnie Flevoland
NL,Netherlands,2,Flevoland,22601,PVV,Partij voor de Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Flevoland
NL,Netherlands,2,Flevoland,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Flevoland
NL,Netherlands,2,Flevoland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011,"Dieren, Natuur en Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Flevoland een stem"
