country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,3,Fryslän,22220,SP,Socialistische Partij,Socialist Party,2003,De friese Weg links - SP-verkiezingsprogramma Staten 2003-2007,,,,

NL,Netherlands,3,Fryslän,22110,GL,Groen Links,GreenLeft,2007,Coalitieakkoord 2007-2011
NL,Netherlands,3,Fryslän,22320,PvdA,Partij van de Arbeid,Labour Party,2007,De takoms fan Fryslän: mei-inkoar en foar Elkoar
NL,Netherlands,3,Fryslän,22330,D66,Democraten 66,Democrats 66,2007,D66 Fryslân kiest voor kwaliteit
NL,Netherlands,3,Fryslän,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007, Verkiezingsprogramma VVD Fryslân Provinciale Staten 2007-2011 - Durf Daadkracht Duidelijkheid 
NL,Netherlands,3,Fryslän,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,CDA Vertrouwen in Fryslân Vertrauen in elkaar - De dynamische aanpak voor een sterk Fryslân
NL,Netherlands,3,Fryslän,22526,CU,ChristenUnie,Christian Union,2007,Fryslân op maat!
NL,Netherlands,3,Fryslän,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,Mededogen in alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Friesland 2007
NL,Netherlands,3,Fryslän,22220,SP,Socialistische Partij,Socialist Party,2007,Voor een beter Fryslän

NL,Netherlands,3,Fryslän,22110,GL,Groen Links,GreenLeft,2011, Programma
NL,Netherlands,3,Fryslän,22220,SP,Socialistische Partij,Socialist Party,2011,Verkiezingsprogramma SP Provinciale Staten Fryslân 2011-2015
NL,Netherlands,3,Fryslän,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Hans Konst - Wiis mei Fryslân - Stem PvdA
NL,Netherlands,3,Fryslän,22330,D66,Democraten 66,Democrats 66,2011,Passie voor Fryslân - Verkiezingsprogramma D66 Fryslân Verkiezingen Provinciale Staten 2011-2015
NL,Netherlands,3,Fryslän,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Ruimte voor Mensen - Romte foar Minsken - Verkiezingsprogramma VVD Fryslân - Provinciale Staten 2011-2015
NL,Netherlands,3,Fryslän,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Verkiezingsprogram 2011-2015 - Fertroud en Foarút - CDA Fryslân
NL,Netherlands,3,Fryslän,22526,CU,ChristenUnie,Christian Union,2011, Verkiezingsprogramma Provinciale Statenverkiezingen 2011 - 2 maart 2011
NL,Netherlands,3,Fryslän,22601,PVV,Partij voor Vrijheid,People's Party for Freedom and Democraty,2011,PVV Programma 2011-2015 - Duidelijk Beter! Foar Sytse en Maaike
NL,Netherlands,3,Fryslän,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Friesland (Nederlandstalig) - 50PLUS en de Verkiezingen van Provinciale Staten in Fryslän op 2 Maart 2011
