country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,4,Gelderland,22320,PvdA,Partij van de Arbeid,Labour Party,2003,Verkiezingsmanifest - Partij van de Arbeid Gelderland 2003
NL,Netherlands,4,Gelderland,22526,CU,ChristenUnie,Christian Union,2003,Verkiezingsprogramma ChristenUnie Gelderland 2003-2007

NL,Netherlands,4,Gelderland,22110,GL,Groen Links,GreenLeft,2007, Groeimee Groen Links
NL,Netherlands,4,Gelderland,22220,SP,Socialistische Partij,Socialist Party,2007,
NL,Netherlands,4,Gelderland,22320,PvdA,Partij van de Arbeid,Labour Party,2007,Verkiezingsprogramma PvdA Gelderland 2007-2011. Samen werken aan een sterk en sociaal Gelderland
NL,Netherlands,4,Gelderland,22330,D66,Democraten 66,Democrats 66,2007,Verkiezingsprogramma D66 Gelderland 2007-2011
NL,Netherlands,4,Gelderland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,Verkiezingsprogramma VVD 2007-2011 - Ruimte voor eigen initiatief, dat werkt!
NL,Netherlands,4,Gelderland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,"Sociaal en Aanspreekbaar" voor mensen, door mensen - Verkiezingsprogramma voor de Staatenperiode 2007-2011
NL,Netherlands,4,Gelderland,22526,CU,ChristenUnie,Christian Union,2007,Voor elkaar in de province - Verkiezingsprogramma ChristenUnie 2007-2011
NL,Netherlands,4,Gelderland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007, Mededogen en alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Gelderland 2007

NL,Netherlands,4,Gelderland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2011,Verkiezingsprogramma 2011-2015 van de Staatkundig Gereformeerde Partij in Gelderland
NL,Netherlands,4,Gelderland,22110,GL,Groen Links,GreenLeft,2011,GroenLinks Gelderland, verkiezingsprogramma 2011-2015
NL,Netherlands,4,Gelderland,22220,SP,Socialistische Partij,Socialist Party,2011, Grote schoonmaak in Gelderland! Verkiezingsprogramma SP Gelderland provinciale Staten 2011-2015
NL,Netherlands,4,Gelderland,22320,PvdA,Partij van de Arbeid,Labour Party,2011,PvdA Gelderland - Verkiezingsprogramma Provinciale Staten 2011-2015
NL,Netherlands,4,Gelderland,22330,D66,Democraten 66,Democrats 66,2011,Anders ja D66 - Verkiezingsprogramma D66 Gelderland voor de Provinciale Staten 2011-2015
NL,Netherlands,4,Gelderland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Verkiezingsprogramma VVD 2011-2015 -Ruim baan voor eigen Initiatief zeker nu!
NL,Netherlands,4,Gelderland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Inspireren, Innoveren en Investeren - Voor een Gelders bestuur met visie, lef ed daadkracht - Verkiezingsprogramma voor de Statenperiode maart 2011-maart 2015
NL,Netherlands,4,Gelderland,22526,CU,ChristenUnie,Christian Union,2011,Rechtvaardig Sociaal Bijbelgetrouw Duurzaam Verantwoordelijk
NL,Netherlands,4,Gelderland,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Gelderland
NL,Netherlands,4,Gelderland,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Gelderland
NL,Netherlands,4,Gelderland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011, Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Gelderland een Stem

