country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,1991,"D66 Democraten een schon Provincie, een helder Bestuur- Verkiezingsprogramma 1991-1995"

NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,1995,"Aart 1995 Verkiezingen provinciale Staten - Stad en lande, samen beter!"

NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,1999,Provinciaal verkiezingsprogramma 1999-2003 D66 Democraten - Over de drempel Groningen 

NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,2003, Daar Groeit, daar Bloeit -  D66-programma voor de verkiezingen van de Groninger Provinciale Staaten in 2003
NL,Netherlands,5,Groningen,22320,PvdA,Partij van de Arbeid,Labour Party,2003,Het PvdA Verkiezingsprogramma voor de Provinciale Statenverkiezingen 2003

NL,Netherlands,5,Groningen,22110,GL,Groen Links,GreenLeft,2007,Groen Werkt Links Sociaal - Verkiezingsprogramma Provincie Groningen 2007-2010
NL,Netherlands,5,Groningen,22220,SP,Socialistische Partij,Socialist Party,2007,Verkiezingsprogramma SP Provincie Groningen 2007-2010 - Grunnen t ken aans
NL,Netherlands,5,Groningen,22320,PvdA,Partij van de Arbeid,Labour Party,2007, Goud veur Grunnen! - PvdA Verkiezingsprogramma Provinviale Staten 2007-2001
NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,2007,Uitgaan van eigen kracht - Naar een duurzame samenleving - D-66 verkiezingsprogramma 2007-2011
NL,Netherlands,5,Groningen,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,VVD Toekomst voor Groningen Denken en doen vanuit kansen; Hoofdpuntenprogramma
NL,Netherlands,5,Groningen,22526,CU,ChristenUnie,Christian Union,2007, Verkiezingsprogramma 2007-2011
NL,Netherlands,5,Groningen,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,Mededogen in alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Groningen 2007

NL,Netherlands,5,Groningen,22110,GL,Groen Links,GreenLeft,2011,Groen, sociaal en eigentijds - Verkiezingsprogramma 2011-2015 GroenLinks Groningen
NL,Netherlands,5,Groningen,22220,SP,Socialistische Partij,Socialist Party,2011, Kop d r veur een Linkse vuist nu! Verkiezingsprogramma SP- Groningen provinciale Staten 2011-2015
NL,Netherlands,5,Groningen,22320,PvdA,Partij van de Arbeid,Labour Party,2011, Voor Groningen - Verkiezingsprogramma PvdA Groningen Provinciale Staten 2011-2015 2 maart 2011
NL,Netherlands,5,Groningen,22330,D66,Democraten 66,Democrats 66,2011,Anders Ja D66 - Zonder meer sterker en groener - Verkiezingsprogramma D66 Groningen
NL,Netherlands,5,Groningen,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011, Orde op zaken in Energiek Groningen . Verkiezingsprogramma VVD Provincie Groningen 2011-2015
NL,Netherlands,5,Groningen,22526,CU,ChristenUnie,Christian Union,2011,ChristenUnie Provincie Groningen Verkiezingsprogramma Provinciale Staten 2011-2015
NL,Netherlands,5,Groningen,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011, Ruimte voor Ontwikkeling Verkiezingsprogramma 2011-2015
NL,Netherlands,5,Groningen,22906,50+,50PLUS,50PLUS,2011,Provinciale Speerpunten Groningen
NL,Netherlands,5,Groningen,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Groningen
NL,Netherlands,5,Groningen,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011,"Dieren, Natuur en Milieu in alle Staten- Provinicale Statenverkiezingen 2011 -  Geef de Dieren in Groningen een Stem"

