country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,6,Limburg,22330,D66,Democraten 66,Democrats 66,2003,D66 geeft (Lim)burgers en stem - Verkiezingsprogramma Provinciale Staten Limburg
NL,Netherlands,6,Limburg,22110,GL,Groen Links,GreenLeft,2007,Verkiezingsprogramma GroenLinks Limburg 2007-2011 - Provinciale Statenverkiezingen 2007
NL,Netherlands,6,Limburg,22220,SP,Socialistische Partij,Socialist Party,2007,een beter Limburg! Actieprogramma 2007-2011
NL,Netherlands,6,Limburg,22320,PvdA,Partij van de Arbeid,Labour Party,2007, Investeren in Mensen- Verkiezingsprogramma proviniciale Staten Limburg 2007-2011
NL,Netherlands,6,Limburg,22330,D66,Democraten 66,Democrats 66,2007,Vrij Verantwoordelijk Vernieuwend - Lijst 7 Verkiezingsprogramma Provinciale Staten Limburg 2007-2011
NL,Netherlands,6,Limburg,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,Verkiezingsprogramma VVD Provinciale  2007-2011 [...] een Provincie met Ambities- Minder Provincie...meer Reslutaat
NL,Netherlands,6,Limburg,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,Vernieuwen in een vertrouwde omgeving - Verkiezingsprogramma 2007-2011 Provinciale Statenverkiezingen Limburg
NL,Netherlands,6,Limburg,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007,Mededogen en alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Limburg 2007
NL,Netherlands,6,Limburg,22110,GL,Groen Links,GreenLeft,2011,Kies voor de Toekomst- Verkiezingsprogramma Groen Links Limburg- Provinciale Staten 2011-2015
NL,Netherlands,6,Limburg,22220,SP,Socialistische Partij,Socialist Party,2011,Nieuwe Kracht! Voor een Limburg zonder Achterkamers en Vriendjespolitiek -  Verkiezingsprogramma SP Limburg 2011-2015
NL,Netherlands,6,Limburg,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Samen aan de Slag voor Limburg- Verkiezingsprogramma Provinciale Staten Limburg 2011-2015
NL,Netherlands,6,Limburg,22330,D66,Democraten 66,Democrats 66,2011, D66 Verkiezingsprogramma Provinciale Staten Limburg 2011
NL,Netherlands,6,Limburg,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Optimisme met focus - Verkiezingsprogramma 2011-2015 voor de Provinciale Staten van Limburg - Limburg doet wat nodig is
NL,Netherlands,6,Limburg,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,Met en voor elkaar in nieuwe tijden! Verkiezingsprogramma PS (?)2011 Limburg
NL,Netherlands,6,Limburg,22526,CU,ChristenUnie,Christian Union,2011,Uit overtuiging! Programma van de ChristenUnie voor de verkiezingen van de Provinciale Staten van Limburg op 2 maart 2011
NL,Netherlands,6,Limburg,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Limburg
NL,Netherlands,6,Limburg,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Limburg
NL,Netherlands,6,Limburg,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011,"Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Limburg een Stem"
