country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,7,Noord-Brabant,22110,GL,Groen Links,GreenLeft,2003,Brabant sociaal en duurzaam
NL,Netherlands,7,Noord-Brabant,22330,D66,Democraten 66,Democrats 66,2003,D66 Verkiezingsprogramma Provinciale Staten 2003-2007 - De eigenheid van Barbant weer terug; dynamisch en kleurijker
NL,Netherlands,7,Noord-Brabant,22110,GL,Groen Links,GreenLeft,2007,Bewust Brabant - Verkiezingsprogramma 2007-2011
NL,Netherlands,7,Noord-Brabant,22220,SP,Socialistische Partij,Socialist Party,2007,Verkiezingsprogramma SP / Een beter Brabant
NL,Netherlands,7,Noord-Brabant,22320,PvdA,Partij van de Arbeid,Labour Party,2007,Verkiezingsprogramma statenfractie PvdA Noord-Brabant 2007-2011- Maak het Verschil
NL,Netherlands,7,Noord-Brabant,22330,D66,Democraten 66,Democrats 66,2007,Vernieuwend in een Duurzam Brabant - Verkiengsprogramma D66 Noord-Brabant Provinciale Staten 2007-2011
NL,Netherlands,7,Noord-Brabant,22420,VVD,Volkspartij voor Vrijheid en Democrazitie,People's Party for Freedom and Democraty,2007,Provincie met Ambitie -  Tijd Ruimte voor Noord-Brabant- Verkiezingsprogramma VVD Noord-Brabant 2007-2011
NL,Netherlands,7,Noord-Brabant,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,CDA Concept - Brabant voor elkaar! Met elkaar Brabant voor elkaar
NL,Netherlands,7,Noord-Brabant,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007, Mededogen en alle Staten - Verkiezingsprogramma Partij voor de Dieren Provinciale Staten van Noord-Brabant 2007
NL,Netherlands,7,Noord-Brabant,22110,GL,Groen Links,GreenLeft,2011, Groenlinks - Kies voor de Toekomst -  Ontspannen Brabant - Verkiezingsprogramma GroenLinks Brabant 2011-2015
NL,Netherlands,7,Noord-Brabant,22220,SP,Socialistische Partij,Socialist Party,2011,Brabant verdient beter! Verkiezingsprogramma SP Noord-Brabant
NL,Netherlands,7,Noord-Brabant,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Iedereen telt mee - Verkiezingsprogramma Provinciale Staten Noord-Brabant 2011-2015
NL,Netherlands,7,Noord-Brabant,22330,D66,Democraten 66,Democrats 66,2011,Anders Ja D66 - Noord-Brabant, een provincie van wereldklasse - Verkiezingsprogramma D66 Noord-Brabant Provinciale staten 2011-2015
NL,Netherlands,7,Noord-Brabant,22420,VVD,Volkspartij voor Vrijheid en Democrazitie,People's Party for Freeddom and Democraty,2011,Onderscheidend Brabant - Verkiezingsprogramma VVD Brabant 2011-2015
NL,Netherlands,7,Noord-Brabant,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,CDA Verkiezingsprogramma 2011-2015 Brabant duurzaam beter - CDA voor een welvarend, gezond en gezellig Brabant
NL,Netherlands,7,Noord-Brabant,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsprogramma Noord-Brabant
NL,Netherlands,7,Noord-Brabant,22906,50+,50PLUS,50PLUS,2011,Provinciale speerpunten Noord-Brabant
NL,Netherlands,7,Noord-Brabant,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011,"Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Noord-Brabant een Stem"


