country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,1991,Verkiezingsprogramma Groen Links Noord-Holland F55 1991 tot
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,1995,Verkiezingsprogramma Provinciale Staten Noord-Holland 1995-?
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,1999,Durf te Kiezen! Verkiezingsprogramma GroenLinks Noord-Holland 1999-2003
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,2003,Groen Links Noord-Holland - Groen en Sociaalsterke punten - verkiezingsprogramma 2003-2007
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,2007,Programma 2007-2011 GroenLinks Noord-Holland Groeimee
NL,Netherlands,8,Noord-Holland,22220,SP,Socialistische Partij,Socialist Party,2007,Verkiezingsprogramma De SP in Noord-Holland - Actieplan SP Noord-Holland 2007-2011
NL,Netherlands,8,Noord-Holland,22320,PvdA,Partij van de Arbeid,Labour Party,2007,"Kansen bieden, kansen pakken - Verkiezingsprogramma PvdA Noord-Holland 2007-2011"
NL,Netherlands,8,Noord-Holland,22330,D66,Democraten 66,Democrats 66,2007,Groen voor Stad en Land - Verkiezingsprogramma D66 Noord-Holland 2007-2011
NL,Netherlands,8,Noord-Holland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,Een goede toekomst in een sterke Provincie! Verkiezingsprogramma VVD provincie Noord-Holland 2007-2011
NL,Netherlands,8,Noord-Holland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,Vertrouwen in Noord-Holland - CDA Noord-Holland erkiezingsprogramma provinciale Staten 2007
NL,Netherlands,8,Noord-Holland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2007, Medegogen in alle Staten- Verkiezingsprogramma Partij voor de Dieren - Provinciale Staten Drenthe 2007
NL,Netherlands,8,Noord-Holland,22110,GL,Groen Links,GreenLeft,2011, Groen en Sociaal -  Verkiezingsprogramma 2011-2015 GroenLinks Provinciale Staten Noord-Holland
NL,Netherlands,8,Noord-Holland,22220,SP,Socialistische Partij,Socialist Party,2011, Voor een beter Noord-Holland - Concept-Verkiezingsprogramma SP provinciale State Noord-Holland
NL,Netherlands,8,Noord-Holland,22320,PvdA,Partij van de Arbeid,Labour Party,2011,"Om kwaliteit van Noord-Holland, onze Ambities - Verkiezingsprogramma provinciale State Noord-Holland 2011-2015"
NL,Netherlands,8,Noord-Holland,22330,D66,Democraten 66,Democrats 66,2011,Anders Ja D66 - Kiezen voor Vooruitgang Verkiezingsprogramma D66 Noord-Holland voor de Provinciale Staten 2011-2015
NL,Netherlands,8,Noord-Holland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011, Verbinden is Winnen! VVD Verkiezingsprogramma 2011-2015- De Motor achter Noord-Holland
NL,Netherlands,8,Noord-Holland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,"Topsteden, prachtdorpen in het Noord-Hollands landschap - Verkiezingsprogramma CDA 2011-2015 Provinciale Staten Noord-Holland"
NL,Netherlands,8,Noord-Holland,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,"Verkiezingsprogramma De nieuwe Gouden Eeuw in Noord-Holland"
NL,Netherlands,8,Noord-Holland,22906,50+,50PLUS,50PLUS,2011,Provinciale Speerpunten Noord-Holland
NL,Netherlands,8,Noord-Holland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011,"Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 - Geef de Dieren in Noord-Holland een Stem"
