country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,1991,Kwaliteit voor Zeeland Verkiezingsprogramma van der Partij van de Arbeid gewest Zeeland vor de Periode 1991-1995,,,,

NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,1995,zeeland aan het werk - verkiezingsprogramma pvdA provinciale staten 1995-1999

NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,1999,Sterk en Sociaal.. ook in Zeeland -  Verkiezingsprogramma 1999-2003

NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,2003,Verkiezingsprogramma van de PvdA voor de Provinciale Statenverkiezingen 2003
NL,Netherlands,11,Zeeland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2003,Verkiezingsprogramma 2003-2007 - SPG omdat er meer is! Zeeland

NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,2007,PvdA Verkiezingsprogramma 2007-2011
NL,Netherlands,11,Zeeland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2007,Voor: "vol overtuiging voor Zeeland" - Provinciale Statenverkiezingen Zeeland D.V. 7 maart 2007 Verkiezingsprogramma 2007 -2011 Lijst 4
NL,Netherlands,11,Zeeland,22110,GL,Groen Links,GreenLeft,2007,Groen Links Verkiezingsprogramma 2007-2011
NL,Netherlands,11,Zeeland,22220,SP,Socialistische Partij,Socialist Party,2007,Zeeland in Beweging -  SP verkiezingsprogramma Provinciale Staten van Zeeland 2007-2011 
NL,Netherlands,11,Zeeland,22330,D66,Democraten 66,Democrats 66,2007, D66 Zeeland verbindt zeeuwse Kwaltiteiten - Programma provinciale Staten 2007-2011
NL,Netherlands,11,Zeeland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2007,Bouwen aan de toekomst - Verkiezingsprogramma VVD Zeeland 2007-2011
NL,Netherlands,11,Zeeland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2007,Samen Leven Samen Werken CDA Zeeland In en voor Zeeland!
NL,Netherlands,11,Zeeland,22526,CU,ChristenUnie,Christian Union,2007,Programma bent hier: ChristenUnie Zeeland Verkiezingen Programma - Verkiezingsprogramma 2007-2011

NL,Netherlands,11,Zeeland,22110,GL,Groen Links,GreenLeft,2011,Verkiezingsprogram Groen Links Zeeland 2011-2015 "Zin in de Zeeuwe Toekomst!"
NL,Netherlands,11,Zeeland,22320,PvdA,Partij van de Arbeid,Labour Party,2011,Samen Werken aan Zeeland! - Verkiezingsprogramma 2011-2015
NL,Netherlands,11,Zeeland,22502,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,2011, Herkenbaar en Betrokken! SGP-verkiezingsprogramma Provincie Zeeland 2011-2015
NL,Netherlands,11,Zeeland,22220,SP,Socialistische Partij,Socialist Party,2011, Naar een beter Zeeland in midere Tijden - De 32 belangrijkste Actiepunkten van de SP voor de provinciale Staten 2011-2015
NL,Netherlands,11,Zeeland,22330,D66,Democraten 66,Democrats 66,2011,Grenzeloos Zeeland
NL,Netherlands,11,Zeeland,22420,VVD,Volkspartij voor Vrijheid en Democratie,People's Party for Freedom and Democraty,2011,Werk aan de Winkel
NL,Netherlands,11,Zeeland,22521,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2011,CDA Verkiezingsprogramma Provinciale Staten 2011-2015 - Ruimte voor Mensen - Samen voor Zeeland!
NL,Netherlands,11,Zeeland,22526,CU,ChristenUnie,Christian Union,2011,Programma 2011-2015 - Duiedelijk Zeeuws - Provinciale Staten Zeeland
NL,Netherlands,11,Zeeland,22952,PvdD,Partij voor de Dieren,Party for the Animals,2011, Dieren, Natuur ein Milieu in alle Staten - Provinciale Statenverkiezingen 2011 
NL,Netherlands,11,Zeeland,22906,50+,50PLUS,50PLUS,2011,De toekomst voor Zeeland - Verkiezingsprogramma 2011-2015
NL,Netherlands,11,Zeeland,22601,PVV,Partij voor Vrijheid,Party for Freedom,2011,Verkiezingsporgramma PVV Zeeland "Zeeland aan zet!"
