country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,2,Aragón,33967,Cs,Ciudadanos,Citizens,2015,

ES,Spain,2,Aragón,33220,IU,Izquierda Unida,United Left,2015,

ES,Spain,2,Aragón,33210,Pod,Podemos,We Can,2015,Medias para el cambio en Aragón

ES,Spain,2,Aragón,33610,PP,Partido Popular,Popular Party,2015,

ES,Spain,2,Aragón,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,Hácer Aragón Contigo
