country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,1,Asturias,33967,Cs,Ciudadanos,Citizens,2015,Andalucía pide cambio

ES,Spain,1,Asturias,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2015,Más democracia para Andalucía

ES,Spain,1,Asturias,33210,Pod,Podemos,We Can,2015,El cambio empieza en Andalucía.

ES,Spain,1,Asturias,33610,PP,Partido Popular,Popular Party,2010,El cambio andaluz
ES,Spain,1,Asturias,33610,PP,Partido Popular,Popular Party,2015,La nueva Andalucía en la cohesión y la construcción de Europa

ES,Spain,1,Asturias,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2010,
ES,Spain,1,Asturias,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,Andalucía tiene mucho que decir
