country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,4,Castilla-La Mancha,33610,PP,Partido Popular,Popular Party,2007,70 compromisos para crear riqueza y modernizar castilla-la mancha
ES,Spain,4,Castilla-La Mancha,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2007,Piensa en castilla-la mancha

ES,Spain,4,Castilla-La Mancha,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2011,No se convence insultanda - No da igual
ES,Spain,4,Castilla-La Mancha,33220,IU,Izquierda Unida,United Left,2011,programa electoral autonómico 2011

ES,Spain,4,Castilla-La Mancha,33967,Cs,Ciudadanos,Citizens,2015,
ES,Spain,4,Castilla-La Mancha,33220,IU,Izquierda Unida,United Left,2015,Es tiempo de Izquierda
ES,Spain,4,Castilla-La Mancha,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en Castilla La Mancha
ES,Spain,4,Castilla-La Mancha,33610,PP,Partido Popular,Popular Party,2015,Trabajar. Hacer. Crecer.
ES,Spain,4,Castilla-La Mancha,33992,UPyD,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral
ES,Spain,4,Castilla-La Mancha,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2015,"Por Castilla-La Mancha, Vamos a cambiarla"
