country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,3,Castilla y León,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2007,Estamos a tu lado - Programa electoral para Castilla y León
ES,Spain,3,Castilla y León,33610,PP,Partido Popular,Popular Party,2007,Confianza en el futuro de castilla y león
ES,Spain,3,Castilla y León,33220,IU,Izquierda Unida,United Left,2007,Programa electoral autonómico para Castilla y León

ES,Spain,3,Castilla y León,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2011,PRORGAMA. PURO CAMBIO. 2011-2015 Para Castilla. Para León
ES,Spain,3,Castilla y León,33610,PP,Partido Popular,Popular Party,2011,Centrados en ti - PROGRAMA ELECTORAL DEL PARTIDO POPULAR DE CASTILLA Y LÉON ELECCIONES AUTONÓMICAS 2011
ES,Spain,3,Castilla y León,33220,IU,Izquierda Unida,United Left,2011,PROGRAMA ELECTORAL - Con Izquierda Unida Tú eres lo Primero
ES,Spain,3,Castilla y León,33965,UPL,Unión de Pueblo Leonés,The Leonese People's Union, 2011,ÚTIL PARA LEÓN

ES,Spain,3,Castilla y León,33967,Cs,Ciudadanos,Citizens,2015,Programa Electoral
ES,Spain,3,Castilla y León,33220,IU,Izquierda Unida,United Left,2015,PROGRAMA PARA LAS ELECCIONES AUTONÓMICAS 2015 
ES,Spain,3,Castilla y León,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en Castilla y León
ES,Spain,3,Castilla y León,33610,PP,Partido Popular,Popular Party,2015,Trabajar. Hacer. Crecer. Solo es posible con tu voto
ES,Spain,3,Castilla y León,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2015,Tú decides el cambio en Castilla y Léon
