country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
ES,Spain,6,Cataluña,33611,CiU,Convergència i Unió,nationalist political party of Catalonia,2003,Construïm comunitats locals per als nous temps
ES,Spain,6,Cataluña,33610,PP,Partido Popular,Popular Party,2006,Programa electoral Cataluña 2006
ES,spain,6,Cataluña,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2010,"una cataluna mas fuerte, una sociedad más justa"
ES,Spain,6,Cataluña,33610,PP,Partido Popular,Popular Party,2010,soluciones para la crisis
ES,Spain,6,Cataluña,33993,IU-LV,Izquierda Unida-Los Verdes,,2010,30 Propuestas para Cataluña
ES,Spain,6,Cataluña,33905,ERC,Esquerra Republicana de Catalunya,Catalan Republican Left,2011,programa marc
ES,Spain,6,Cataluña,33911,CC,Crida Constituent,Constituent Call,2015,Programa Electoral
ES,Spain,6,Cataluña,33967,Cs,Ciutadans,Citizens,2015,un projecte per la convivencia
ES,Spain,6,Cataluña,33610,PP,Partido Popular,Popular Party,2015,unidos ganamos
ES,Spain,6,Cataluña,33326,PSC,Partit dels Socialistes de Catalunya,Socialists' Party of Catalonia,2015,Nuestro compromiso
ES,Spain,6,Cataluña,33326,PSC,Partit dels Socialistes de Catalunya,Socialists' Party of Catalonia,2015,El nostre compromís
ES,Spain,6,Cataluña,33912,Si,Junts pel sí,Together for Yes,2015,EL PAÍS QUE VOLEM
ES,Spain,6,Cataluña,33501,Unio,Unió Democràtica de Catalunya,Democratic Union of Catalonia,2015,Programa Electoral
ES,Spain,6,Cataluña,33960,Yes,Catalunya sí que es pot,Catalonia Yes We Can,2015,per un nou model económic i ecològic
