country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
ES,Spain,5,Islas Canarias,33907,CC,Coalicion Canaria,Canarina Coaliton,2000,Programa Electoral
ES,Spain,5,Islas Canarias,33907,CC,Coalicion Canaria,Canarina Coaliton,2008,Canarias en su sitio
ES,Spain,5,Islas Canarias,33907,CC,Coalicion Canaria,Canarina Coaliton,2015,De aquí en adelante
ES,Spain,5,Islas Canarias,33967,Cs,Ciudadanos,Citizens,2015,
ES,Spain,5,Islas Canarias,33220,IU,Izquierda Unida,United Left,2015,Es tiempo de izquierda
ES,Spain,5,Islas Canarias,33910,NC,Nueva Canarias,New Canaries,2015,CANARIAS ERES TÚ
ES,Spain,5,Islas Canarias,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en Canarias
ES,Spain,5,Islas Canarias,33610,PP,Partido Popular,Popular Party,2015,Trabajar, Hacer, Crecer en Canarias
ES,Spain,5,Islas Canarias,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,
ES,Spain,5,Islas Canarias,33992,UP,Union Progreso y Democracia,Union, Progress and Democracy,2015,
