country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,10,La Rioja,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2007,Ahora, el cambio positivo-PROGRAMA DE GOBIERNO-tu voto puede
ES,Spain,10,La Rioja,33610,PP,Partido Popular,Popular Party,2007,LA RIOJA Programa de Gobierno 2007-2011 - crecer juntos

ES,Spain,10,La Rioja,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2011,RECUPERA TU TIERRA. Programa de Gobierno 2011/2015
ES,Spain,10,La Rioja,33610,PP,Partido Popular,Popular Party,2011,La Rioja más fuerte - Centrados en ti
ES,Spain,10,La Rioja,33968,PR,Partido Riojano,The Riojan Party,2011,Pasión por La Rioja

ES,Spain,10,La Rioja,33967,Cs,Ciudadanos,Citizens,2015,La Rioja Pide Cambio
ES,Spain,10,La Rioja,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en La Rioja
ES,Spain,10,La Rioja,33610,PP,Partido Popular,Popular Party,2015,Trabajar. Hacer. Crecer
ES,Spain,10,La Rioja,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,De otra manera
ES,Spain,10,La Rioja,33992,UP,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral
