country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,11,Madrid,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2007,Programa Abierto - Para la Comunidad Autónoma de Madrid
ES,Spain,11,Madrid,33610,PP,Partido Popular,Popular Party,2007,Confianza en el futuro - nuestro contrato con los cuidadanos - propuestas para la libertad y el progreso

ES,Spain,11,Madrid,33320,PSOE,Partido Socialista Obrero Español,Spanish Socialist Workers’ Party,2011,Programa electoral - el madrid que queremos
ES,Spain,11,Madrid,33610,PP,Partido Popular,Popular Party,2011,una comunidad líder 
ES,Spain,11,Madrid,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2011,sobran motivos

ES,Spain,11,Madrid,33967,Cs,Ciudadanos,Citizens,2015,Madrid pide cambio
ES,Spain,11,Madrid,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2015,programa de Izquierda unida para la comunidad de Madrid
ES,Spain,11,Madrid,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en la Communidad de Madrid
ES,Spain,11,Madrid,33610,PP,Partido Popular,Popular Party,2015,"Madrid, aún queda mucho por hacer."
ES,Spain,11,Madrid,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,Soluciones JUSTAS para la Comunidad de Madrid
ES,Spain,11,Madrid,33992,UP,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral


