country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,12,Murcia,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2007,"110 propuestas de nuestro programa, 110 compromisos con la ciudadanía"
ES,Spain,12,Murcia,33610,PP,Partido Popular,Popular Party,2007,Programa Electoral 2007-2011 - confianza en el futuro
ES,Spain,12,Murcia,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2007,PROGRAMA MARCO. MANIFIESTO

ES,Spain,12,Murcia,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2011,PROGRAMA ELECTORAL
ES,Spain,12,Murcia,33610,PP,Partido Popular,Popular Party,2011,Centrados en ti - Región de Murcia - Programa Electoral Regional 2011-2015
ES,Spain,12,Murcia,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2011,Para salir de la crisis muévete

ES,Spain,12,Murcia,33967,Cs,Ciudadanos,Citizens,2015,Programa Electoral de Ciudadanos Región de Murcia
ES,Spain,12,Murcia,33993,I-L,Izquierda Unida - Los Verdes,United Left - The Greens,2015,PROGRAMA ELECTORAL DE GANAR LA REGIÓN DE MURCIA
ES,Spain,12,Murcia,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en la Región de Murcia
ES,Spain,12,Murcia,33610,PP,Partido Popular,Popular Party,2015,Trabajar. Hacer. Crecer.
ES,Spain,12,Murcia,33320,PSOE,Partido Socialista Obrero Español ,Spanish Socialist Workers’ Party,2015,El cambio que quieres
ES,Spain,12,Murcia,33992,UP,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral
