country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,13,Navarra,33610,PP,Partido Popular,Popular Party,2003,Confianza en Navarra

ES,Spain,13,Navarra,33610,PP,Partido Popular,Popular Party,2007,UPN [símbolo de corazón] Sí
ES,Spain,13,Navarra,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2007,nuevos tiempos para Navarra 
ES,Spain,13,Navarra,33997,NaBai,Nafarroa Bai,Navarre Yes,2007,programa electoral - elecciones forales 27 Mayo 2007

ES,Spain,13,Navarra,33610,PP,Partido Popular,Popular Party,2011,Centrados en ti
ES,Spain,13,Navarra,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2011,Programa Electoral Navarra 22/05/2011 PSN-PSOE
ES,Spain,13,Navarra,33220,IU,Izquierda Unida,United Left,2011,encuentros desde la Iuquierda idiarium
ES,Spain,13,Navarra,33613,UPN,Unión del Pueblo Navarro,The Navarrese People's Union,2011,Muévete por Navarra Programa electoral 2011-2015
ES,Spain,13,Navarra,33903,EA,Eusko Alkartasuna,Basque Solidarity,2011,Bildu nafarroa base programática 2011
ES,Spain,13,Navarra,33969,CDN,Convergencia Demócratas de Navarra,The Convergence of Democrats of Navarre,2011,Programa der gobierno y acción política 2011-2015

ES,Spain,13,Navarra,33967,Cs,Ciudadanos,Citizens,2015,
ES,Spain,13,Navarra,33909,EHB,Euskal Herria Bildu,Basque Country Unite,2015,
ES,Spain,13,Navarra,33220,IU,Izquierda Unida,United Left,2015,Gobernu Programa de Gobierno Navarra 2015-2019
ES,Spain,13,Navarra,33210,Pod,Podemos,We Can,2015,Medidas para el cambio en Navarra
ES,Spain,13,Navarra,33610,PP,Partido Popular,Popular Party,2015,"PPN, es la hora"
ES,Spain,13,Navarra,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2015,Comienza la regeneración Navarra
ES,Spain,13,Navarra,33613,UPN,Unión del Pueblo Navarro,The Navarrese People's Union,2015,Compromisos con Navarra 2015-19
