country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title

ES,Spain,17,Valencia,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2003,los ciudadanos primero - Seguridad y Bienestar para todos - Compromiso Socialista con la Comunidad Valenciana
ES,Spain,17,Valencia,33610,PP,Partido Popular,Popular Party,2003,Elecciones autonómicas y municipales 2003

ES,Spain,17,Valencia,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2007,PSPV Programa Electoral 2007
ES,Spain,17,Valencia,33610,PP,Partido Popular,Popular Party,2007,Contigo hacemos 1700 propuestas para mejorar tu vida

ES,Spain,17,Valencia,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2011,la hora de la dignidad
ES,Spain,17,Valencia,33610,PP,Partido Popular,Popular Party,2011,Hui més que mai - seguimos avanzando juntos
ES,Spain,17,Valencia,33220,IU,Izquierda Unida,United Left,2011,un país para vivir


ES,Spain,17,Valencia,33972,Comp,Compromís,Commitment,2015,#conValentía
ES,Spain,17,Valencia,33967,Cs,Ciudadanos,Citizens,2015,Programa Electoral
ES,Spain,17,Valencia,33220,IU,Izquierda Unida,United Left,2015,Es tiempo de izquierdas 
ES,Spain,17,Valencia,33210,Pod,Podemos,We Can,2015,Medidas para un proyecto de país
ES,Spain,17,Valencia,33610,PP,Partido Popular,Popular Party,2015,Trabajar. Hacer. Crecer.
ES,Spain,17,Valencia,33992,UPyD,Union Progreso y Democracia,Union Progress and Democracy,2015,Programa Electoral
ES,Spain,17,Valencia,33320,PSOE,Partido Socialista Obrero Español,The Spanish Socialist Workers' Party,2015,Programa Electoral
