country_abbr,country_name,region_code,region_name,cmpcode,acronym,party_orig,party_engl,year,mani_title
SE,Sweden,2,Dalarnas län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2006,Mp Dalarnas länsprogram Länsprogram som togs fram till valet 2006
SE,Sweden,2,Dalarnas län,11110,MP,Miljöpartiet de Gröna,Green Ecology Party,2010,Moderat politik för en bättre fungerande hälso- och sjukvård
SE,Sweden,2,Dalarnas län,11220,Vp,Vänsterpartiet,Left Party,2006,Valplattformen 2006 #9punkter Dalavänstern gör skillnad!
SE,Sweden,2,Dalarnas län,11220,Vp,Vänsterpartiet,Left Party,2010,Håll ihop vården i Dalarna med förstärkt sjukvård utan vinstintresse
SE,Sweden,2,Dalarnas län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2006,Dalarna i arbete och samverkan
SE,Sweden,2,Dalarnas län,11320,SAP,Socialdemokratiska Arbetarepartiet,Social Democratic Labor Party,2010,Möjligheternas Dalarna 2010-2014
SE,Sweden,2,Dalarnas län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2006,No title
SE,Sweden,2,Dalarnas län,11420,FP,Folkpartiet Liberalerna,Liberal People’s Party,2010,No title
SE,Sweden,2,Dalarnas län,11520,KdS,Kristdemokratiska Samhällspartiet,Christian Democratic Community Party,2006,Valmanifest Garantibevis
SE,Sweden,2,Dalarnas län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2006,Moderat politik för en bättre fungerande hälso- och sjukvård
SE,Sweden,2,Dalarnas län,11620,MSP,Moderata Samlingspartiet,Moderat Coalition Party,2010,Valprogram 2010
SE,Sweden,2,Dalarnas län,11810,CP,Centerpartiet,Centre Party,2006,Vi åstadkommer ett tryggt Dalarna med människan i centrum
SE,Sweden,2,Dalarnas län,11810,CP,Centerpartiet,Centre Party,2010,Valplattform 2010

